component_gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ko_gene,dataset,Percent Upregulated,p_value
UPF2,158.644108944136,0.0375401583742635,0.135389003699563,0.277276273171841,0.781567976844031,0.899632156934018,ZBTB17,GSE151825,,
CXXC1,199.82129059009,-0.0284284750839897,0.145085009907601,-0.195943571993376,0.84465433272642,0.932904250860437,ZBTB17,GSE151825,,
DPY30,160.12313320376,0.978016398205573,0.299017793193486,3.27076321365507,,,ZBTB17,GSE151825,,
WDR82,372.235779691525,0.0727652306212032,0.0860248936405912,0.845862488656058,0.397629460650369,0.643500596814411,ZBTB17,GSE151825,,
UPF3A,109.128649953571,-0.121596730667486,0.141996099556539,-0.856338526531633,0.391810556858775,0.637716294491996,ZBTB17,GSE151825,,
WDR5,177.758017950454,0.0486693770809517,0.128198224611189,0.379641584183874,0.704211488106028,0.85740832085254,ZBTB17,GSE151825,,
UPF1,505.243047393446,0.0583304256026975,0.0923983316532305,0.631293060805586,0.527848923301904,0.907325429462312,ZEB2,GSE151825,1.0,0.01
SETD1A,253.523134485447,-0.0238346131112474,0.0862241325121349,-0.276426244217569,0.782220701723437,0.968644121398158,ZEB2,GSE151825,1.0,0.01
RBBP5,140.56305443889,-0.233299813809051,0.125445834851989,-1.85976532488557,0.0629187352283836,0.45262761249964,ZEB2,GSE151825,1.0,0.01
UPF3B,75.8122264033523,-0.135933278418993,0.156595128727106,-0.868055599966207,0.38536389576125,0.853514993203318,ZEB2,GSE151825,1.0,0.01
ASH2L,287.699561261937,0.00880537296239227,0.0952387990298969,0.0924557328744573,0.926335960569265,0.991270865323113,ZEB2,GSE151825,1.0,0.01
SETD1B,171.221869180025,-0.051098993804374,0.123534203814006,-0.413642474931955,0.679135961623432,0.947599487778839,ZEB2,GSE151825,1.0,0.01
UPF2,164.977437605719,-0.0640384270502187,0.116808454926839,-0.54823451855714,0.583530883073071,0.924992678811435,ZEB2,GSE151825,1.0,0.01
CXXC1,208.891878435798,-0.121771139175245,0.126130468442912,-0.965437936436116,0.334325507848534,0.825904249153574,ZEB2,GSE151825,1.0,0.01
DPY30,138.475468075472,0.0124185362472611,0.124348449262824,0.0998688469448714,0.920448449207135,0.990666362150275,ZEB2,GSE151825,1.0,0.01
WDR82,393.953920858683,0.0553262946259667,0.0859144160141564,0.64396986201769,0.519594977373134,0.905662430789166,ZEB2,GSE151825,1.0,0.01
UPF3A,121.441477570588,0.11290127188484,0.135774777480808,0.831533470204353,0.405672328386052,0.864634211761011,ZEB2,GSE151825,1.0,0.01
WDR5,187.180588359436,-0.00437351930184168,0.106320464275418,-0.0411352539856511,0.967188069762065,0.997100863167601,ZEB2,GSE151825,1.0,0.01
UPF1,507.471319842291,-0.0980283712784963,0.0950816738491649,-1.03099122375576,0.302544935385246,0.999004649248404,ZFP57,GSE151825,,
SETD1A,261.056862956116,-0.0194804023103587,0.0812971982740299,-0.239619602199522,0.810625167074731,0.999004649248404,ZFP57,GSE151825,,
RBBP5,149.304780436873,-0.0357604368857592,0.126717275632105,-0.282206484533186,0.777785186385149,0.999004649248404,ZFP57,GSE151825,,
UPF3B,79.8247240058156,0.00924701967189227,0.146563750587865,0.0630921331830186,0.949693138630612,0.999004649248404,ZFP57,GSE151825,,
ASH2L,295.158886245533,-0.00888759508619401,0.090935850125826,-0.0977347775810798,0.922142899228256,0.999004649248404,ZFP57,GSE151825,,
SETD1B,181.992031101926,0.135117662271628,0.112759608305482,1.19828069910969,0.230807757918072,0.999004649248404,ZFP57,GSE151825,,
