gene_name,CD34 shRNA SC,CD34 shRNA HRI 1,CD34 shRNA HRI 2,HUDEP2_nontargeting_sgRNA_undifferentiated_rep1,HUDEP2_HRI_sgRNA5_undifferentiated_rep1,HUDEP2_nontargeting_sgRNA_undifferentiated_rep2,HUDEP2_HRI_sgRNA5_undifferentiated_rep2,HUDEP2_nontargeting_sgRNA_differentiated_rep1,HUDEP2_HRI_sgRNA5_differentiated_rep1,HUDEP2_nontargeting_sgRNA_differentiated_rep2,HUDEP2_HRI_sgRNA5_differentiated_rep2
GOT2,1701,430,1281,5488,6412,5945,5932,1152,836,1081,876
DOK4,16,17,33,13,6,3,21,23,20,39,7
PIWIL1,3,1,3,3,2,2,2,4,2,5,2
GPR18,298,130,297,155,173,163,215,199,241,169,214
CLYBL,146,35,154,138,154,139,176,57,44,57,57
TMTC4,314,74,62,688,783,1007,942,167,137,177,146
RAP2A,2243,3412,4389,2636,3240,2836,2886,8314,8546,9675,9358
SLC10A2,6,15,0,10,11,6,2,14,11,10,15
ABCC4,9479,15165,11645,7170,8540,8762,8519,12485,10734,13830,12210
EFNB2,6,26,7,85,99,37,64,14,27,31,13
SOX21,17,12,8,275,311,390,286,27,14,31,17
TM9SF2,4064,3392,5890,6894,7885,8395,8541,3758,3458,3998,3400
C17orf53,245,89,217,211,303,246,245,137,180,145,127
KIF25,10,2,0,8,0,0,0,9,2,0,0
IRF1,2488,2876,2979,313,283,243,207,3617,3741,4032,4078
UPF3B,1807,747,1274,1402,1664,1615,1511,1247,1154,1511,1201
RNF113A,808,429,513,786,854,828,806,457,317,523,478
6-Sep,1168,258,451,13,9,7,8,27,19,25,35
TMEM255A,16,2,31,36,14,26,8,27,12,18,41
NDUFA1,1193,923,1635,2201,2377,2643,2478,1624,1193,1654,1641
AMELX,0,8,0,0,0,1,4,0,1,0,8
ATP5S,1812,1676,2435,2036,2062,1946,2115,2874,3433,3206,3708
BMP4,1,2,1,2,2,3,1,4,3,8,3
PTGER2,89,18,72,0,4,0,2,1,0,0,1
FAM193A,1642,1377,2053,978,1133,1056,969,1667,1710,1712,1952
GRK4,248,116,517,182,149,150,118,197,154,193,181
SOX9,0,0,0,6,4,0,2,7,3,2,2
TEKT3,11,2,13,0,0,2,0,0,5,3,1
MYH2,4,0,0,2,0,0,0,1,7,0,2
HS3ST3B1,42,35,70,29,29,33,20,24,57,28,23
SLC25A35,168,57,72,43,58,64,44,98,90,70,87
MRPS7,1390,865,1522,3535,4008,3716,3690,921,684,1097,694
GGA3,1563,1452,2069,1141,1200,1227,1193,1815,1896,1836,2116
ARMC7,120,194,182,144,164,168,144,88,101,113,109
NUP85,1625,706,1378,2279,2477,2496,2210,1416,1291,1376,1365
SLC25A19,529,510,429,729,761,820,815,259,295,299,333
MIF4GD,338,121,400,261,278,259,261,289,189,291,229
NT5C,740,1224,1359,1075,1073,1268,1145,828,1051,982,1143
MSTO1,423,95,235,1181,1407,1114,1074,183,125,139,194
C1orf61,69,87,75,37,30,56,59,77,67,43,122
TTF1,1480,671,1578,1904,1993,2206,2432,1349,1337,1668,1725
GTF3C4,1029,489,1132,3740,4500,4008,4164,929,674,1080,738
DDX31,430,104,205,1504,1865,1605,1762,160,56,189,81
BARHL1,2,3,0,2,0,0,0,0,0,0,1
KIR2DL1,0,0,0,0,0,0,0,0,0,0,3
PPP1R12C,903,769,1213,1145,1168,1228,1092,1716,1623,1808,1590
MBOAT7,247,122,177,566,546,840,816,283,211,261,266
SRMS,0,0,0,0,0,0,0,0,2,2,0
OPRL1,0,0,0,0,0,11,0,2,0,0,0
SLC2A4RG,664,139,785,116,144,132,70,391,443,333,373
NPBWR2,0,0,0,0,0,0,0,0,0,0,0
FNDC11,0,13,8,11,5,1,3,3,7,0,2
BHLHE23,0,0,0,0,0,0,0,0,0,0,0
PPDPF,797,453,868,100,94,150,94,383,422,512,550
