gene_name,CD34 shRNA SC,CD34 shRNA HRI 1,CD34 shRNA HRI 2,HUDEP2_nontargeting_sgRNA_undifferentiated_rep1,HUDEP2_HRI_sgRNA5_undifferentiated_rep1,HUDEP2_nontargeting_sgRNA_undifferentiated_rep2,HUDEP2_HRI_sgRNA5_undifferentiated_rep2,HUDEP2_nontargeting_sgRNA_differentiated_rep1,HUDEP2_HRI_sgRNA5_differentiated_rep1,HUDEP2_nontargeting_sgRNA_differentiated_rep2,HUDEP2_HRI_sgRNA5_differentiated_rep2
KCNK4,1,4,6,0,1,0,0,1,9,0,1
TEX19,0,3,0,14,12,2,19,0,2,2,0
TSHZ2,48,37,26,20,12,9,17,28,23,13,24
CAPN12,23,30,35,16,16,20,15,37,65,46,90
EXOC7,2913,3067,5224,3103,3376,3162,3098,2547,2320,2753,2469
KPNA2,8277,5190,14671,11105,13307,14465,14381,10384,9191,11573,10651
NCF1B,60,172,140,0,0,0,7,0,1,4,0
XKRX,3,0,0,0,0,0,0,0,0,1,9
BGN,4,0,15,1,2,2,3,6,3,3,16
CEP97,3184,1329,3471,2337,2367,3256,3136,3772,4086,4253,4533
LHFPL1,1,0,0,0,1,0,0,0,0,0,0
FES,598,178,383,461,456,476,420,80,142,102,140
GLRX5,7826,7673,12500,4668,5203,4758,5190,15475,13062,16374,14661
FAM104B,358,351,439,412,445,465,450,589,637,648,616
TBPL2,12,16,24,3,1,5,8,20,16,31,20
CAV3,0,6,0,6,6,7,10,10,4,4,0
MXRA7,340,443,859,142,171,152,148,191,205,188,289
LIMK2,920,517,1076,640,587,574,523,838,789,886,830
MFSD5,291,156,250,374,391,461,387,211,143,213,158
RNASE10,7,22,20,11,14,13,10,14,36,14,42
ADI1,1708,718,1180,4732,4705,4419,4243,2097,1798,2886,2198
RWDD4,971,435,706,3070,3538,3458,3446,1004,625,1163,806
SPNS3,19,2,10,0,0,0,0,0,0,1,0
CLEC4G,8,0,0,3,1,6,0,0,1,1,0
SATB1,973,2543,1888,481,616,563,583,652,907,715,991
NXPH3,4,4,2,6,1,0,3,9,4,4,7
CSF1R,42,33,50,37,22,35,51,26,20,26,25
EPHB3,24,9,16,13,14,7,28,25,27,11,32
VCX,0,0,5,0,0,0,0,0,0,3,0
ACTL10,11,44,4,39,104,68,31,30,44,36,32
EPGN,109,11,17,5,2,1,1,5,1,8,0
LINC00334,2,0,0,0,0,0,0,0,4,0,3
KRTAP11-1,0,0,0,0,0,0,0,0,5,0,0
SNORC,4,17,15,22,12,14,18,21,22,45,20
HS3ST4,3,0,0,1,8,1,2,1,3,4,0
TRAK1,1088,367,678,1476,1782,1610,1611,473,399,442,318
TSPAN10,224,225,330,127,128,144,145,154,215,159,263
OR2V2,0,0,0,0,0,1,0,0,0,0,0
PLCB1,118,72,86,37,23,33,10,47,33,36,72
SKA2,2885,2081,3432,3860,4256,3809,4071,6373,6292,7532,7259
RXFP3,1,0,0,0,0,0,0,0,0,0,0
CCNYL2,28,27,35,13,10,20,11,23,21,11,33
OR10G7,0,0,0,2,0,0,0,4,0,0,0
NDN,15,6,25,0,0,0,0,0,0,0,0
CCDC172,0,2,17,7,9,5,8,7,1,7,2
C7orf13,94,63,218,284,287,276,316,264,278,213,284
OR4Q3,0,0,0,0,0,0,0,0,0,0,0
NTM,2,9,16,7,4,3,5,23,13,12,6
TTC3,5370,1386,3447,15853,19524,16031,16960,4730,3065,4917,3602
KCNB2,19,0,0,1,2,0,0,0,0,0,1
PPP1R27,25,40,19,7,13,15,20,16,22,8,11
BRICD5,67,49,100,46,48,50,41,64,83,89,76
GALR2,0,0,4,1,0,0,2,1,1,0,0
RESP18,0,0,0,0,0,3,0,2,0,1,0
IGIP,237,297,415,248,214,237,216,468,580,435,432
TSKU,420,464,594,662,608,562,561,762,855,712,971
CMC4,55,15,17,153,155,113,110,31,36,15,18
ANXA2,813,483,502,8234,9330,14457,13171,887,497,912,570
RGS6,868,2908,3230,76,159,221,201,880,1641,981,1706
HOXB4,138,34,23,313,313,344,352,36,46,51,64
SLC35D3,6,2,9,12,13,72,57,0,0,0,0
PAQR7,75,73,81,208,172,165,185,32,65,39,63
PAPPA,441,351,187,27,16,35,55,421,561,508,476
MAFA,252,408,210,11,1,4,12,71,168,54,148
NGRN,2635,2781,3870,2469,3015,3083,3009,3997,3590,4864,3878
GRID1,41,20,36,16,15,30,30,21,27,20,32
RPS17,12962,4241,7662,22802,25452,23637,25888,6338,4888,6469,5292
HCAR2,1,6,1,0,0,0,0,0,2,4,4
OR2T29,0,0,3,0,0,0,0,0,0,0,0
CCDC87,14,37,47,6,13,2,22,4,8,16,21
GSTA5,0,0,0,1,0,0,2,0,0,4,0
C1orf116,85,156,218,15,18,50,25,180,201,165,314
TMEM198B,124,91,207,111,78,91,98,106,117,113,125
MAGEB17,0,0,0,0,0,6,0,0,3,0,1
CRIP2,0,19,18,43,73,49,52,19,47,13,58
DDX28,366,118,248,802,871,898,749,168,145,175,142
KRTAP13-2,0,0,0,0,0,0,0,0,1,0,0
LINC01662,1,3,2,3,0,2,1,1,5,6,6
ACBD3,1466,2213,2479,2422,2694,2788,2996,1846,1803,1800,1939
C16orf72,5540,8293,9728,6848,7164,7685,7216,9027,9291,9731,9523
PLCXD3,12,19,9,10,20,6,12,16,20,16,17
RRP7BP,1173,450,471,1311,1514,1508,1444,696,560,656,608
VMO1,18,0,0,0,0,0,0,0,0,0,3
OR4F15,0,0,0,0,0,0,0,0,1,0,0
ALG12,352,272,442,237,274,294,242,298,271,249,416
LCK,15,12,24,14,21,14,11,11,15,10,25
GALNT9,17,7,3,8,3,8,4,5,11,26,13
COL18A1,1320,1211,2600,2202,2082,1922,1657,1689,1597,1564,1415
RBM10,2475,1138,2210,3098,3283,3711,3983,2024,1944,2399,2077
PRKCZ-AS1,0,2,1,1,4,0,1,0,0,3,0
ADGRG3,122,191,82,2,0,0,0,2,6,1,3
GLUD2,3,51,66,36,66,102,119,86,349,130,380
TMEM95,0,3,0,0,3,0,3,2,4,2,1
TCHHL1,12,3,1,0,0,0,0,3,1,0,0
RPL35A,10718,6322,10588,23880,26896,24182,26789,10172,9297,10595,9070
RGS7,0,2,0,0,2,0,0,4,0,0,0
SLC25A18,32,35,23,13,13,25,42,30,14,24,60
ZNF721,1728,589,1143,1124,1336,1839,1851,836,878,889,956
TCEAL7,0,0,0,1,0,0,0,0,0,0,0
C11orf54,1066,1227,1598,923,982,1217,1138,1503,1503,1808,1724
CEP63,2781,1767,2961,2590,2783,3327,2960,2273,1818,2617,2457
WFDC10B,0,0,0,0,0,4,0,0,0,1,0
SRPRA,1265,640,1855,1862,2327,2678,2311,1900,1609,2000,1851
OTOP3,0,0,0,5,0,0,1,0,0,3,0
EWSR1,11481,7326,10931,16377,19142,18813,19184,9356,8509,9966,9706
ODF3L1,2,0,0,1,1,3,4,2,0,0,0
HMGN4,842,326,339,3010,3486,3856,3838,574,356,551,430
SPATA13,1394,189,350,1448,1595,1500,1458,163,111,166,129
GJC1,96,121,175,128,145,125,137,128,157,86,100
SOX1,4,0,0,0,0,0,0,0,0,0,0
CNOT10,3970,1972,3459,3025,3291,3496,3577,3236,2588,3113,2754
MTA1,780,324,704,985,1047,1194,1111,385,326,466,348
ZNF662,48,30,45,28,24,11,20,18,39,21,16
CADM1,142,134,150,129,120,103,87,132,135,121,151
ZNF320,717,379,490,474,483,887,845,528,336,504,403
C12orf60,380,559,713,201,228,328,302,887,1229,852,1366
PYCR1,1568,599,1005,3007,3254,2715,2398,2345,2329,2669,2467
NAA38,347,212,306,500,516,551,531,228,205,244,286
SPNS2,0,5,9,32,44,54,34,0,7,7,2
MCEMP1,18,5,9,0,2,0,1,8,3,5,21
AP2A2,436,505,673,1191,1271,1169,1317,1008,1321,1007,1329
SLC8A1,62,27,59,27,24,23,23,56,61,41,54
OR1G1,0,1,0,0,0,0,0,0,0,0,0
SLC25A21,1559,865,2330,6884,7020,7036,7065,4294,4660,4931,4872
OTOP2,8,0,3,36,7,33,48,5,1,2,0
CYLC1,0,0,0,0,0,0,0,0,4,0,6
PCP4,0,0,0,0,0,0,0,0,0,0,4
ABAT,269,177,328,171,140,180,172,220,277,212,266
SLC25A10,136,32,73,731,687,649,602,188,208,187,158
CAMK1D,1041,1416,1258,208,191,393,379,876,950,982,992
RGPD6,464,492,645,1057,1076,779,1153,421,393,427,419
LYSMD4,576,173,615,282,291,267,238,749,681,898,661
WBP2NL,112,56,48,16,15,62,22,40,58,45,67
IGSF5,31,24,18,6,19,21,11,10,21,8,16
NKX2-5,0,0,0,0,0,0,3,0,0,0,0
AFMID,484,190,401,844,847,917,854,343,323,339,394
GAS6,275,31,160,300,302,240,239,60,20,32,36
FREM3,43,20,32,1,3,1,7,2,9,2,0
NEB,714,282,475,299,370,513,372,608,569,555,702
BEGAIN,27,18,10,46,38,103,53,20,4,10,10
GPC6,2,1,6,0,0,0,0,3,2,2,0
ARHGEF37,1026,1821,2947,103,90,63,76,747,1106,854,1131
FAM43B,0,5,0,7,13,0,5,2,3,0,2
CSMD1,67,53,62,90,77,95,113,66,116,44,93
CALHM3,0,0,0,0,0,0,0,1,0,9,0
PTGDR2,60,65,55,36,23,42,27,1,1,0,0
CEP57L1,3404,1195,3022,2829,3058,4096,3903,3400,3075,3811,3482
RIPPLY3,31,36,36,19,26,24,28,24,34,26,24
PRORY,14,12,14,7,9,6,15,24,17,13,20
ANKRD20A2,79,10,70,18,21,41,27,34,43,12,40
GPR19,63,57,53,16,7,23,26,80,117,100,103
GJD3,1,0,0,1,1,0,0,0,0,0,4
LOC102723701,25,24,26,37,41,16,31,23,33,37,18
RABIF,179,71,171,300,398,329,303,286,161,281,188
TMEM119,41,27,19,22,29,26,22,15,19,32,48
FANCF,848,259,476,858,1014,1096,1043,247,163,282,153
CALN1,16,12,41,15,28,8,11,18,34,30,26
SMDT1,39,46,42,33,33,33,29,31,29,47,42
GABRR3,41,4,2,8,10,10,12,17,9,7,12
C2CD4C,0,0,0,0,0,0,0,0,0,4,1
CHST6,78,50,87,54,42,76,49,73,88,45,73
POTEC,231,141,252,156,114,136,165,226,256,181,253
RUVBL2,3670,1142,2434,14218,16578,16081,16621,2778,1500,2784,1717
GDPGP1,326,316,372,355,373,485,405,322,365,303,350
MICA,194,114,124,194,125,207,173,230,226,211,192
CTNNA3,8,4,0,5,1,2,0,8,0,0,0
WT1-AS,81,40,15,284,234,423,383,517,642,615,700
RIMBP3C,7,5,30,0,5,0,0,5,3,2,5
PRR36,17,10,11,6,2,5,0,2,9,1,2
LINC01547,60,14,13,73,108,92,52,38,56,42,83
OR51B4,10,14,19,1,0,2,0,7,15,9,14
PTTG1IP,2533,3813,3811,3900,4108,4358,4323,4007,3976,4610,4201
DDX41,1968,931,1871,2827,2865,2705,2793,1168,897,1251,1002
ABHD16B,0,0,0,0,0,0,0,0,0,0,0
OR52E8,4,0,0,0,0,0,0,0,0,0,0
CCDC60,14,3,20,5,8,5,7,6,5,14,1
PLGLB1,67,77,80,70,115,82,94,150,211,187,206
DAZAP2,2646,2067,4552,3113,3018,3735,3686,3982,3798,4543,4391
CCBE1,134,115,104,35,27,32,29,56,87,79,108
SELENOF,2504,1949,2720,5963,6458,6232,6427,2369,1581,2576,1985
TISP43,46,12,33,4,1,10,8,30,37,24,20
OR5P2,0,0,0,0,0,0,0,0,0,0,0
FAM9A,3,2,0,1,0,0,0,9,1,0,1
MAGEA2B,2,0,0,1,0,0,0,0,0,0,5
TMEM121B,9,0,18,4,1,4,0,4,0,0,0
ZNF623,851,844,776,1056,1219,1179,1095,730,644,495,742
OR2T34,0,0,0,0,0,0,0,0,0,0,0
TUBB,902,246,867,2752,2381,2472,2089,1342,1589,1716,1059
OR52L1,0,0,0,0,0,0,0,0,0,1,0
EPHA10,28,32,32,13,25,16,14,20,43,43,21
SPDYE4,3,0,1,4,0,0,0,1,1,0,0
CCDC125,1021,657,1218,876,868,1152,1302,893,853,783,941
REC114,9,6,20,11,5,5,8,8,4,9,18
BOLA2,311,96,166,946,1092,971,1099,323,279,345,231
BCOR,1881,1320,2801,1637,1795,1645,1671,3225,3537,3221,3957
JRKL,848,420,1166,645,789,988,850,791,824,866,931
CABCOCO1,5,0,3,1,2,4,1,1,0,0,0
GBP6,24,38,48,28,44,52,61,28,34,38,78
KIAA2026,3286,4505,5356,1485,1846,1852,1760,3971,4265,4541,4841
OVCH2,3,3,0,0,1,11,0,6,3,5,6
SYNDIG1L,0,9,0,2,0,0,0,3,10,0,0
TTTY8,3,2,4,1,2,3,1,2,3,4,4
FHL3,90,36,88,338,351,457,419,44,42,44,37
OR56A4,0,0,5,2,0,0,0,0,0,0,0
PMCH,9,0,26,14,10,21,9,15,13,10,25
TMEM89,0,0,0,4,0,2,0,0,0,0,0
C19orf71,0,15,7,4,7,8,4,23,13,31,32
CCDC159,198,109,229,206,186,194,194,88,121,118,115
RIPK4,0,2,0,1,0,2,1,1,1,4,0
LRIT3,12,1,4,5,8,2,2,11,23,22,10
NPIPA1,3460,1864,2718,997,910,807,896,4092,3279,4293,4340
SF3A3,5094,1721,3042,13993,16301,15365,16341,3439,2386,3981,2909
TFDP3,4,1,4,0,0,1,0,2,1,1,5
TRIM61,47,30,43,126,179,146,208,48,25,39,36
GRIN2A,55,14,45,60,46,66,55,46,49,51,56
URAD,0,0,0,0,0,0,0,0,0,0,0
FLJ40288,0,0,0,0,1,0,0,0,0,0,0
GTF2H2C,1017,385,885,2508,3226,3668,3476,639,511,697,517
ASB7,872,968,1203,954,847,1055,993,1145,1178,1387,1101
SH2D7,0,0,1,2,0,4,0,2,0,0,0
TREX2,0,6,20,0,2,1,3,0,2,0,0
GPR132,75,35,49,26,19,13,22,15,12,10,24
MX2,345,337,285,203,234,249,226,366,389,347,463
EP400,1568,807,1229,1064,1222,1443,1109,632,698,648,617
MEX3B,402,153,223,152,171,107,81,238,205,207,196
PI4KAP2,1015,1011,1660,368,402,273,355,569,646,656,788
FAM46C,7879,13242,22904,5030,5973,6230,5496,25914,32313,24469,31701
COA5,737,595,678,1000,1184,1225,1051,754,631,711,741
UTP11,1683,908,1439,4973,5998,5586,5952,1661,1174,1795,1424
PSMG1,1659,223,750,9557,11494,10128,11192,2110,1757,2387,1922
PRR14L,5579,4541,6779,4419,5172,5425,5092,5609,4936,6035,5468
COL18A1-AS1,21,21,18,17,20,20,8,19,16,42,51
KLRC4,0,0,0,0,0,0,0,6,7,0,9
ACSM5,10,14,13,14,6,17,5,13,4,25,19
C10orf120,0,1,0,0,0,0,0,0,1,0,0
IZUMO1R,0,0,0,0,0,0,0,1,0,0,3
BPIFA4P,1,0,0,4,4,3,2,2,4,0,0
SERHL2,69,66,60,147,162,193,144,74,74,69,72
PCBP3,52,19,19,12,13,19,26,42,17,33,56
PGPEP1L,11,25,16,3,2,1,1,12,15,12,3
RNF5,313,225,553,394,448,452,502,637,692,749,753
SETD3,2244,1339,2541,3430,3586,3412,3744,1980,1749,2147,2007
TNFAIP8L3,35,44,43,43,29,68,53,52,45,75,68
ZNRF3,155,36,68,478,481,584,513,53,43,49,51
FBXL7,0,0,0,4,0,0,0,2,1,1,0
TANGO2,4947,9724,15134,1546,1878,1888,1838,6351,7103,7422,8401
HIST2H3D,5427,3955,3875,2190,2283,2346,2718,2369,2684,1743,2541
SMG1P5,8926,6156,9281,1374,1413,1430,1185,1851,1641,1592,2108
SFXN4,298,76,203,1289,1428,1355,1386,114,51,93,25
GKN2,7,0,43,0,0,0,0,0,0,0,0
FAM167B,0,0,0,0,0,0,0,0,0,0,0
MRPL54,263,236,376,1027,930,998,1203,481,502,555,484
ZNF438,274,295,304,131,178,165,162,212,187,176,162
HMCES,1002,618,1878,739,729,951,851,1160,1116,1216,1193
CCR3,20,19,5,1,3,6,1,3,4,7,4
DGCR6,103,47,155,26,24,28,21,53,60,12,47
GOLGA8G,16,0,0,7,3,5,4,3,7,0,1
PRR32,6,0,0,0,0,0,0,0,0,0,5
TP53TG3,0,0,0,0,0,0,0,0,0,0,0
RP1L1,88,122,141,64,58,68,85,99,167,89,160
KRTAP8-1,0,0,0,0,0,0,3,0,0,0,0
C11orf88,31,17,22,10,8,14,6,14,26,11,37
ZNF530,565,186,403,375,363,410,399,130,102,138,109
NDUFB1,2284,1651,2906,4182,4626,4277,4643,3486,2768,3838,2478
11-Mar,0,0,0,1,0,0,0,0,2,0,1
KLHL25,27,11,54,21,10,8,16,14,5,1,10
FAM19A1,0,3,0,1,1,0,0,1,5,0,0
TRMT12,836,344,1085,3012,3542,2870,3419,1056,1190,1259,1322
GUSBP1,526,258,462,427,418,462,353,209,206,199,184
PSG9,5,0,0,4,0,0,1,3,6,0,4
GPR1,10,6,8,13,8,9,12,5,7,5,4
BMP8A,1,3,0,1,4,4,8,4,2,0,15
ALYREF,3213,803,1984,6748,7092,7014,6865,2970,1962,3308,2275
RFLNB,1096,1572,1129,175,248,737,508,227,221,357,259
EFHC2,50,39,33,32,15,12,8,4,2,1,9
NOG,4,3,5,2,1,2,1,3,3,3,4
MRGPRX2,0,0,0,0,0,0,0,0,0,0,1
UPP1,71,55,95,24,13,23,23,18,20,31,37
OR4N4,0,0,0,0,0,0,0,0,0,0,0
IFNL2,0,2,0,5,5,2,0,0,0,0,0
OPCML,0,0,0,0,1,1,0,2,2,10,3
TRIM52,3344,2210,4085,1235,1441,1258,1315,2235,2853,2278,3083
LHFPL6,106,14,36,11,21,11,14,5,3,6,15
CMTM4,94,28,33,242,220,236,247,38,78,62,58
TMEM50A,2186,1852,3401,4742,5052,6198,6001,4857,3894,4933,3751
NPBWR1,0,0,0,0,0,1,0,0,0,0,0
FIGLA,3,9,1,0,0,0,0,0,1,0,0
ASCL2,2,7,18,0,0,0,6,0,0,1,0
TBK1,2271,3536,5268,3955,4829,4881,5282,3035,2850,3231,2624
CBX6,919,544,887,1193,1225,1208,1119,1010,547,979,597
MACC1,584,1785,436,1638,1825,2624,2787,4188,4342,4830,4700
ACSM2A,179,198,189,122,121,170,122,174,233,200,238
TBL3,442,291,424,1534,1637,1386,1284,346,349,423,332
BPY2,1,0,0,0,0,0,0,0,0,0,0
ACP7,116,74,117,51,45,31,64,96,108,92,86
KREMEN1,729,438,588,1585,1628,2242,2142,1306,1610,1178,1676
TRAIP,797,176,549,627,683,660,702,329,331,421,435
CHEK2,1446,615,1013,2073,2618,2399,2496,1080,1031,1167,1218
FOXL2,7,0,0,1,0,0,1,0,0,5,1
AIFM3,48,12,68,8,7,10,20,5,17,1,16
KCTD16,12,1,9,10,1,1,4,0,5,2,9
B3GALT5,52,53,41,21,31,27,38,42,51,25,64
ZNF703,32,14,11,2,10,3,9,11,12,23,32
SLC35F3,3,0,4,1,0,1,1,0,0,0,0
KCTD8,0,5,0,7,0,0,0,0,0,0,0
C9orf66,52,76,63,60,44,50,57,53,94,47,64
TUBA8,51,20,19,26,19,22,17,16,16,7,17
ELOA3,2,0,0,0,1,0,1,0,0,4,0
NPIPA5,99,43,41,82,108,88,47,353,324,464,302
BPY2B,1,0,0,0,0,0,0,0,0,0,0
EMILIN3,1,0,0,0,1,2,0,0,0,0,0
OLFML1,38,24,23,21,21,22,13,20,49,36,39
FAM162B,2,0,0,413,421,221,285,0,1,0,5
RBM12B,4280,2275,5558,6200,7774,7844,7324,6290,7124,5890,7617
CCR4,120,99,87,53,75,133,157,128,145,123,163
LIN9,2067,722,2191,1707,1849,1834,1998,2243,2040,2475,2291
NCF4-AS1,0,0,0,0,0,1,0,0,0,0,0
BTBD9,3515,3679,4483,3613,3648,2502,1936,3026,4686,3724,3681
NUDT14,46,84,63,85,89,73,93,66,33,71,45
ANKRD45,64,51,84,60,60,51,91,109,134,108,107
MAATS1,21,4,4,7,1,12,12,6,18,5,21
PNMA3,5,4,0,16,20,17,35,0,2,1,0
GPR39,4,0,0,0,1,0,0,0,0,0,0
FAM3B,41,19,32,9,10,10,5,11,22,18,15
ZNF730,194,11,20,4,13,17,18,15,21,7,7
KIRREL1,0,0,1,1,2,0,0,1,0,3,0
IQGAP3,2832,1307,2258,674,611,782,712,1311,1891,1398,2129
CNGA2,11,0,0,0,0,0,0,0,0,3,0
TOB2,1127,1302,2031,1059,1336,1168,1332,1307,1559,1332,1471
SCN5A,7,2,1,5,8,2,11,11,6,2,2
ARSI,17,17,16,3,7,3,6,52,38,29,42
UTY,8152,7624,10454,2205,2488,2528,2814,7232,7652,7231,8015
SRARP,25,21,65,21,28,29,24,43,34,31,45
NPIPA5,2368,1497,1738,1299,1190,854,833,5226,4791,5058,4843
TTC32,1266,598,1173,1076,1086,1181,1089,1581,1864,1698,1769
LRRC55,13,8,6,0,3,7,0,6,3,0,13
DNAH2,159,65,95,63,66,62,59,60,77,82,62
SH2D1A,43,31,12,6,0,0,5,7,8,8,13
HTR7P1,246,237,220,32,72,78,65,41,41,17,35
PRKX,1410,765,1435,2305,2687,3140,3052,1091,1061,1012,997
KMT5A,5645,3898,8467,3232,4045,4199,3831,8437,9092,9446,10818
KCNH8,5,15,0,0,0,1,0,1,0,0,0
SMTN,640,415,674,187,252,275,249,562,634,587,796
NPW,1,4,0,56,37,18,7,6,3,3,1
PP2D1,94,165,216,56,54,54,64,147,136,114,118
COA3,225,107,248,435,501,514,591,199,170,182,151
NPB,0,0,3,5,23,3,18,6,19,13,3
ST6GALNAC3,11,11,0,1,0,3,2,3,0,0,1
PTP4A2,9584,7509,8986,16210,18882,19647,18786,18693,17332,21882,19655
ACTG1,4087,2758,2748,11231,13058,14819,16155,3450,2896,3814,2804
TMPRSS2,25,24,35,22,20,13,16,24,43,16,12
DENND5A,892,676,1672,711,880,764,717,531,563,564,582
OR2T10,0,0,0,2,0,0,0,0,0,0,0
DSCR4,0,0,0,0,0,0,0,1,0,2,2
KRTAP20-2,0,0,0,0,0,0,0,0,0,0,0
CTAG1B,0,0,0,0,0,0,0,0,0,0,0
DIABLO,1179,821,965,1941,2359,2375,2200,785,726,929,806
VPS33B,1218,973,1554,888,904,1137,1048,793,685,725,746
TBX1,4,1,8,1,2,1,6,0,0,0,4
ADAP2,17,30,57,24,32,22,8,19,41,45,42
UQCR10,700,1018,1465,1772,1980,1646,1569,772,675,930,923
FAM120C,234,169,321,428,345,346,288,138,153,134,233
TREML3P,4,11,12,0,0,0,0,6,5,13,2
TRIML1,5,0,1,5,0,0,2,0,0,0,0
EIF3C,7253,3793,5603,14225,19581,18784,19338,6473,4888,7243,6585
CLDN5,7,0,0,7,4,0,3,6,3,17,1
LOC100288570,6,1,4,4,2,10,0,5,8,2,9
NIPSNAP1,761,157,283,2095,2083,2287,2215,250,204,305,218
OR4F6,3,0,0,0,0,0,0,0,0,0,2
CNTN2,12,13,37,7,22,8,5,30,25,7,25
SPRR4,0,0,0,0,0,0,0,0,0,0,0
LRTOMT,262,452,470,177,240,264,224,244,299,182,186
OR10J5,0,0,0,0,0,0,0,0,0,0,1
KCNQ3,14,3,26,5,4,1,1,10,11,6,23
ADRA2C,5,0,0,0,0,0,0,0,1,1,0
NR2C2AP,210,51,206,718,801,726,795,236,175,285,208
C1QTNF12,4,0,6,2,0,0,6,0,1,0,10
CRELD2,469,184,430,458,566,531,489,324,267,342,268
OR1D2,3,0,0,4,0,0,0,0,0,0,0
SCFD2,802,249,323,1217,1313,1373,1385,181,112,233,137
UBE2F,1758,2101,2224,1842,1912,2304,2269,3055,2286,3305,2502
KCNJ12,626,77,172,224,238,242,273,10,4,3,0
GPR173,40,16,60,16,11,14,42,20,53,29,19
PPP1R2,1686,1593,2284,1763,1828,1776,1870,1871,1408,2095,1497
TSPYL2,952,761,1277,444,531,471,420,1561,1447,1857,1733
GOLGA6L4,197,90,151,200,144,127,135,31,29,84,86
PGP,295,100,321,420,436,359,393,199,262,240,188
C22orf46,569,207,373,886,1056,1117,1027,448,344,513,300
SNRNP35,407,560,701,498,618,570,666,455,449,603,543
DGAT2L6,0,0,0,0,0,3,0,2,0,0,8
IRAK1,1643,965,1442,3306,3736,3411,3781,1537,1125,1540,1193
CMSS1,1388,489,692,3888,4792,5187,5208,899,744,1075,855
OLIG1,9,4,3,112,89,102,117,19,28,28,21
C11orf72,642,486,629,446,377,547,455,567,678,666,766
PCDH9,1695,1748,1990,1867,1434,1068,745,845,1015,823,971
ACOT1,63,17,23,379,394,236,268,45,33,48,26
OAF,70,51,87,189,233,162,212,35,42,59,52
ALDH1A3,0,4,0,4,5,0,0,2,7,0,0
CDR1,1,5,0,0,5,1,0,0,0,1,0
HIST2H2AC,12653,11364,12152,5278,6849,5540,6059,7864,8448,8028,9746
KCNK12,8,8,11,14,9,10,24,18,24,15,37
HIST2H2AB,9817,4551,8014,1059,1278,1670,1619,3022,2502,2979,2372
POU6F1,61,36,43,74,87,131,79,46,74,64,86
DEFB108B,1,2,0,1,0,0,0,2,2,0,0
TM2D3,1453,1432,2461,1758,2080,2102,2216,2412,2486,2842,2602
TSSC4,310,482,553,450,621,491,486,356,303,384,316
TACSTD2,0,0,0,0,0,0,0,3,0,0,3
CLECL1,4,10,8,1,0,0,0,2,0,0,0
SIX6,0,0,0,0,0,0,0,0,0,0,0
PRKD1,73,64,122,5,0,1,0,4,4,0,8
CCSER1,1071,278,375,21,11,27,12,41,72,71,87
ZDHHC23,46,14,10,334,332,461,399,128,83,120,84
MROH7,110,116,141,50,57,106,76,156,147,103,155
OR51J1,0,0,10,0,0,0,0,0,1,1,0
S100A7A,2,0,0,1,2,4,0,5,9,0,10
SRPK3,54,19,65,40,40,46,49,29,41,45,118
GDF3,2,3,0,1,0,0,0,1,0,1,0
IQCF2,9,2,0,0,1,0,0,0,0,0,0
SLIT3,80,64,122,44,38,30,50,84,131,106,124
EFNA5,24,19,12,11,9,8,9,20,24,25,27
MRGPRE,6,65,21,31,32,34,37,76,118,39,134
KRTAP19-1,7,0,0,0,0,0,0,0,0,2,0
HIST1H1B,53020,28977,41870,31900,35208,36828,37789,42202,44386,40286,48730
SPATA32,0,0,0,36,31,106,86,4,4,5,0
PKP3,0,2,0,2,7,28,2,4,1,1,0
MAP7D2,21,4,62,184,120,163,124,48,31,44,19
CSF1,567,121,344,113,77,273,187,98,17,111,19
COLEC10,3,0,5,0,0,6,0,2,1,1,3
ACTRT3,108,222,176,103,79,97,157,192,198,191,210
PLA2G6,922,931,1305,1360,1280,1576,1447,822,897,875,805
MAML2,71,141,83,24,21,265,143,16,42,51,22
UMODL1-AS1,0,3,0,1,2,1,0,4,0,9,0
PABPC1L2B,0,0,0,1,2,0,0,0,0,3,0
A3GALT2,0,0,0,3,15,17,2,0,0,0,5
OR4N5,0,5,0,1,0,0,0,0,0,0,0
SS18L1,647,429,778,1059,1156,1039,1027,879,886,985,984
KCND2,9,4,0,3,0,1,0,4,1,10,2
TOP1MT,1374,535,1234,1703,1207,1844,1434,1443,877,1676,927
COPB2,8361,6833,12876,13211,15761,15454,16747,10786,7661,11073,8055
LRRC19,113,96,201,106,115,133,114,148,156,166,174
THAP7,289,150,287,593,569,630,561,435,256,426,220
KNTC1,15602,5431,12146,6849,7245,8254,7960,9956,10577,10858,11923
CCR10,15,35,18,46,17,31,51,43,62,23,36
NCMAP,111,37,112,40,48,40,56,71,104,81,120
BPIFC,1,0,0,2,0,0,0,1,0,0,1
WDR27,726,193,640,1258,1416,1534,1401,463,392,513,477
TXNRD2,1087,702,1653,601,690,652,617,893,944,790,1055
C1QTNF8,2,0,0,0,0,0,0,4,2,0,7
OR56A3,0,0,0,2,0,0,0,0,8,0,0
FOXO4,1793,6630,4816,611,668,802,787,4374,4323,5136,4634
POU3F2,14,0,9,0,0,0,0,2,2,7,5
PTP4A3,0,281,1,0,1,1,0,26,37,31,67
FOXD4L1,27,1,50,177,126,162,144,237,285,313,238
NEU1,138,291,230,193,182,262,219,180,126,175,115
