gene_name,H9_WT_B1,H9_WT_B2,H9_KO_UGP2_B1,H9_KO_UGP2_B2,H9_KI_B1,H9_KI_B2,NSC_WT_B1,NSC_WT_B2,NSC_KO_UGP2_B1,NSC_KO_UGP2_B2,NSC_KI_B1,NSC_KI_B2
PRR30,0,0,0,0,0,0,0,0,0,0,0,0
DEFB131A,0,0,0,0,0,0,0,0,0,0,0,0
LOC440895,0,0,1,12,8,8,67,52,52,1,37,87
UBL4B,0,0,4,2,0,0,0,0,3,11,0,1
WWOX,348,358,404,346,430,302,220,282,288,553,376,288
CYP4Z1,0,0,1,0,0,0,0,0,0,0,0,0
CIDECP1,171,182,130,184,199,179,295,342,320,377,302,287
TRY2P,0,0,0,0,0,0,0,0,0,0,0,0
BCL9L,4467,4043,3666,4174,4147,4932,5233,6205,8449,5132,5599,4791
POLR1D,5087,4934,5025,5268,6130,5408,2789,2894,2391,2415,2604,2565
KIF18B,3583,3770,3504,3770,3291,3995,565,1267,1602,2759,1466,708
ZNRF1,1903,1768,1842,1960,1971,1718,1141,1418,1586,2099,1414,1375
FFAR4,19,13,19,16,20,13,8,6,3,18,9,9
BPIFB3,0,1,0,0,1,0,0,0,0,0,0,0
BPIFB4,1,0,1,0,1,0,0,0,0,0,0,0
SAPCD2,2765,3012,3311,2499,2877,2618,479,942,637,1503,874,435
EDARADD,376,363,307,241,361,335,89,66,178,172,40,28
SLC51B,0,0,0,1,0,0,1,0,0,1,2,0
CYP4F12,1,0,9,0,0,0,1,0,0,4,1,2
MTARC1,3286,3306,2988,3377,3426,3184,56,77,123,602,234,120
LCE5A,0,0,0,0,0,0,0,0,0,0,0,0
SOWAHB,14,5,11,7,17,22,73,48,764,752,44,61
BLOC1S4,628,634,674,658,778,641,526,555,628,605,579,561
LCE1E,2,0,0,0,0,0,0,0,0,0,0,0
ZNF749,464,541,677,580,459,594,172,216,292,289,195,118
KLHL32,16,11,14,25,13,33,14,1,2,36,2,2
LINC02610,26,41,83,47,42,33,92,93,83,52,92,94
RPL21P124,0,0,0,0,0,0,0,0,0,0,0,0
MRTFB,1184,1355,1347,1544,986,1493,2357,2500,2334,1953,2493,2306
BTLA,0,0,0,1,1,0,3,7,2,4,0,1
ZNF17,344,360,383,533,431,407,226,208,237,264,228,165
KDM4D,135,113,158,157,186,163,76,81,114,212,105,90
GPAT2,6,15,6,7,3,4,4,0,8,0,16,1
TOR3A,1378,1524,1246,1423,1751,1533,1350,1697,1500,1459,1352,1192
PABPC1L2A,34,26,53,41,32,37,0,0,4,5,0,2
GABRA5,955,811,994,965,745,977,30,43,172,51,8,24
PPP1CC,20499,18864,20459,20793,21271,19758,6862,7763,7749,9274,7379,6469
ZNF555,245,225,414,273,251,247,332,345,355,495,378,343
OR10T2,0,0,0,0,0,0,0,0,0,0,0,0
NAP1L3,4553,4424,4946,5343,5097,4785,1024,1452,1613,2248,1886,1540
CA5BP1,1092,1206,974,1268,1041,1088,613,667,846,774,580,515
PRELID2,188,152,263,152,244,209,310,361,208,147,227,208
BACE1,683,612,522,534,652,750,3107,4222,2673,2187,3687,3759
RGS9BP,3,1,3,0,0,1,4,5,3,5,20,12
TMEM212,400,497,453,514,282,405,200,316,382,396,390,223
SLC36A3,6,3,1,8,3,4,0,5,4,6,8,5
SLC36A2,20,17,22,36,24,20,9,29,14,23,22,57
THBS2,1934,2376,1349,2111,2631,2988,646,1053,812,167,185,415
RXRA,2320,2439,2391,2107,2025,2395,1162,2023,2047,2988,2355,1795
ANKRD37,23,16,36,23,31,20,185,105,112,86,49,51
NUDT17,75,68,85,67,96,74,140,130,87,98,169,138
MINAR2,29,26,25,22,26,24,10,20,13,26,23,13
ZNF75D,346,401,363,432,428,415,548,805,738,1013,863,766
CYP4X1,111,107,125,138,85,73,5,4,11,34,6,0
KRT26,0,0,0,0,0,0,0,0,0,0,1,0
KRT10,442,444,475,488,632,456,732,750,742,665,563,638
GOLGA8R,19,29,34,33,23,18,59,119,62,97,213,192
CD300E,2,2,1,4,7,6,1,0,1,3,2,3
CCDC30,122,201,132,153,121,108,105,167,172,376,197,255
NKRF,1112,1109,1077,1251,1301,1193,630,726,1034,789,710,637
GLDN,26,24,55,24,43,61,23,31,6,54,100,112
KPNA4,7375,7457,7497,7895,6703,7326,5299,5781,7113,5022,4672,3725
TRDN,140,100,96,38,164,166,0,0,0,6,0,0
OR6P1,0,0,0,0,0,0,0,0,0,0,0,0
KRT3,0,2,0,3,0,0,4,3,0,0,2,1
SPATA12,28,30,41,25,40,37,15,26,2,9,29,34
TMPRSS12,5,10,9,11,4,7,11,16,16,7,13,15
FAM228A,2,1,2,1,0,0,6,1,9,9,22,11
DEFB132,1,0,0,0,1,0,0,0,0,0,0,0
NAP1L2,1031,1021,1109,1171,1043,934,394,632,344,487,666,570
RPS23,32629,32805,33565,33840,40369,35111,24808,22933,19799,21825,20456,23754
GNG2,1554,1555,1186,1514,1706,1863,1166,1451,1137,1920,607,570
BTN3A2,144,134,254,102,134,119,1441,1597,689,467,1738,1664
AKAP14,2,4,6,2,2,0,1,1,0,1,0,0
PCLO,585,482,534,672,351,689,480,503,401,785,768,650
KLK12,1,1,1,0,2,3,0,0,0,0,0,0
RGS7BP,160,160,124,142,110,112,23,7,11,75,91,42
INSIG1,3050,3159,2988,3840,3673,3493,6745,5338,4598,3463,3366,3386
MYT1L,29,36,34,41,32,50,11,9,36,37,16,12
C5orf38,65,76,38,47,136,142,120,153,108,351,171,246
ZNF396,96,82,80,106,79,93,68,141,127,121,137,103
TMEM222,1308,1335,1166,1504,1687,1436,1446,1409,1756,1817,1536,1337
OR9Q1,0,0,2,0,0,0,0,0,0,0,0,0
CLCNKA,17,9,33,14,20,24,11,17,0,3,19,44
OR9Q2,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP30,48,36,27,22,43,38,23,19,23,0,21,28
SEPTIN10,4224,3948,4577,3606,4121,4668,4534,5331,3733,4876,6066,5366
FAM86B1,383,356,491,518,433,401,256,250,499,627,303,250
CYP4F8,37,35,37,38,30,46,20,29,30,40,48,36
CYP4F3,11,12,24,10,45,8,22,11,36,25,43,45
SMYD4,1306,1454,1280,1200,1151,1291,580,758,793,1082,1086,665
DEFB105A,0,0,0,0,0,0,0,0,0,0,0,0
FOXD2,1,0,0,0,0,0,1,10,13,187,76,16
GPATCH8,4830,4936,5478,5000,3465,5051,3347,4293,4360,4289,4229,3287
CEACAM19,86,70,116,103,64,68,287,257,327,256,463,361
NF2,1615,1647,1563,1432,1459,1665,2568,3009,3303,1655,2581,2354
SMIM29,131,90,137,90,178,131,467,488,372,376,289,248
DEFB106A,0,0,0,0,0,0,0,0,0,0,0,0
SPATC1,0,0,0,0,0,0,0,0,0,0,0,0
UBE2H,4411,4623,5475,4450,3888,4613,11141,13624,8145,7886,13313,13496
MIR22HG,0,0,0,0,0,0,0,0,0,0,0,0
DEFB105A,0,0,0,0,0,0,0,0,0,0,0,0
HPDL,734,833,919,1470,178,161,2,1,24,69,2,3
KTN1-AS1,244,216,286,217,268,224,184,218,172,188,205,183
KATNA1,830,761,759,670,1017,988,819,914,920,753,735,702
FSD2,13,18,7,16,5,6,7,8,17,13,21,7
ARAP1,4690,3632,3486,3174,5173,3933,2753,3416,1741,2314,4583,3542
KIF24,536,621,466,555,515,601,158,313,316,845,384,253
PDE2A,454,487,390,394,292,303,19,22,23,92,9,36
SPDYE17,0,0,0,0,0,0,0,2,0,0,0,0
CARMIL3,373,429,451,475,257,245,15,11,64,105,23,5
PRG2,2,0,0,0,0,0,1,0,0,2,0,0
PRR5,459,552,553,517,483,343,425,500,573,659,783,733
ZFP91,3095,3111,3164,3319,2975,3251,4135,5368,4296,4253,5206,4198
C17orf58,632,585,878,510,868,734,485,475,511,566,431,404
BCDIN3D,230,265,220,295,247,205,284,322,271,302,322,275
MAGEE2,0,0,0,0,0,0,0,0,0,0,0,0
LOC101060042,0,0,0,0,0,0,0,0,0,0,0,0
CYP27C1,255,263,266,333,233,290,190,406,252,330,436,366
LYRM7,851,844,807,890,981,940,842,854,895,910,822,860
CFAP73,9,5,16,8,12,6,0,4,2,2,1,0
CCDC73,5,4,5,3,3,2,3,2,1,0,0,0
MST1L,61,48,87,63,57,49,36,45,28,28,61,36
BCR,8039,7292,7561,7504,7210,7426,2837,4156,2150,3625,5194,4024
OR10H1,0,0,0,0,0,0,0,0,0,0,0,0
MPPED1,8,12,15,11,11,9,1,1,1,14,0,0
FSCN2,0,0,5,1,1,3,24,26,25,40,73,49
FOXI2,18,14,44,28,18,19,0,0,5,5,0,0
SPIN4,864,974,792,990,807,968,303,478,481,803,545,386
ZNF732,374,405,473,441,271,299,5,28,36,114,22,8
SPIN2B,257,286,287,318,286,272,198,295,242,364,362,385
SPATA31D3,1,0,0,0,0,0,0,0,0,0,0,0
FOXE3,6,13,7,8,21,2,0,2,3,25,882,192
HYAL3,147,154,132,108,141,138,206,230,126,141,129,147
KCNK18,0,0,0,0,0,0,0,0,0,0,0,0
IFNA10,0,0,0,0,1,0,0,0,3,0,0,0
VSIG10L,510,507,596,518,521,506,208,243,150,290,289,277
CXCR3,0,0,0,0,0,0,0,0,0,0,0,0
ZNF397,2362,2543,2831,2874,2570,3080,544,1042,1001,1551,1504,990
ZSCAN30,724,822,987,796,650,708,1221,1629,1009,1240,2023,1580
TPCN1,867,992,958,879,829,759,1699,2178,1627,2191,2656,2971
LILRB4,0,0,0,0,0,0,0,1,0,0,0,0
CDRT15P3,0,0,0,0,0,0,0,1,0,0,0,0
TNFRSF4,1,0,1,3,1,1,1,5,3,19,2,2
KRT16,0,0,0,0,0,0,0,1,0,0,0,0
HEXIM1,2272,2406,2013,2339,2390,2361,1627,2532,1802,2063,2538,1989
SELENOV,184,222,333,242,276,176,0,0,5,20,4,2
LCE1A,0,0,0,0,0,0,0,0,0,0,0,0
KRT14,0,0,0,0,0,1,0,0,0,0,0,0
TRABD2A,266,274,322,316,177,210,33,49,88,68,34,36
KRTAP17-1,0,0,0,0,0,0,0,0,0,0,0,0
PDZD7,86,57,94,55,104,65,168,203,116,91,231,151
POFUT2,1440,1367,1641,1617,1337,1489,4248,4179,4620,3142,3435,3944
QRFPR,49,64,63,39,46,70,1,12,4,21,1,1
MAPT,42,17,60,7,16,14,30,26,86,132,16,98
ERCC6L,2526,2563,2197,2501,2561,2607,344,622,518,781,661,307
OR13F1,0,0,0,0,0,0,0,0,0,0,0,0
TMEM17,83,94,72,96,93,111,218,190,154,191,226,180
TNFRSF18,12,13,27,11,17,14,8,14,7,5,9,15
FGF3,0,0,0,1,0,0,0,1,2,0,1,0
C1QL4,22,19,33,9,42,26,6,24,23,8,11,6
RTN4RL2,470,514,696,496,373,404,25,45,47,105,99,41
ZDHHC17,1962,2046,1969,1735,1370,1973,3215,2902,3630,2677,3161,3332
SERPINA11,27,18,12,14,24,8,0,0,0,0,0,0
P2RY4,0,0,0,2,0,2,5,3,7,5,5,2
ZNF395,1559,1301,1487,1181,1688,1781,2077,3474,1296,2237,4624,3712
ZACN,12,10,5,4,5,5,2,7,3,7,9,9
KRTAP22-1,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP19-6,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP6-2,0,0,0,0,0,0,0,0,0,0,0,0
OR13C8,0,0,0,0,0,0,0,0,0,0,0,0
PPARA,403,478,653,487,324,354,633,827,499,511,878,695
TMEM232,20,24,22,21,16,16,33,34,36,51,43,18
LINC01551,4,11,10,4,2,0,5,5,44,225,13,4
KRTAP19-2,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP19-4,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP15-1,0,0,0,1,0,0,0,0,0,0,1,0
KRTAP13-4,13,8,12,9,27,7,0,0,0,2,0,0
FAM183A,14,13,10,30,9,16,47,39,20,100,67,57
EFCAB6,63,58,83,99,42,55,71,73,45,80,57,26
KRTAP19-5,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP23-1,0,0,0,0,0,0,0,0,0,0,0,0
KANK3,47,35,61,40,62,69,157,58,107,84,170,110
EMID1,127,112,149,108,122,84,57,65,123,769,777,446
ACTL7A,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP21-1,0,0,0,0,0,0,0,0,0,1,0,0
RHD,13,18,10,27,16,11,8,6,13,18,12,7
LINC00207,0,0,0,0,0,0,0,0,0,0,0,0
LINC02875,0,1,0,0,0,1,1,0,2,0,0,0
ESPN,646,716,764,830,658,534,12,20,10,69,76,108
PNLIPRP1,20,16,30,15,16,32,7,14,18,11,25,12
PTRH1,132,161,200,148,184,155,331,404,341,289,268,268
KRTAP21-2,0,0,0,0,0,0,0,0,0,0,0,0
SAMD7,0,0,2,0,0,0,0,0,0,1,0,0
GPR141,24,11,17,17,8,19,59,41,6,5,73,69
TMPRSS6,5,13,3,2,2,1,0,0,0,0,6,1
CYP4A11,9,3,4,3,2,4,2,2,5,2,4,2
TMEM216,977,922,907,1047,1110,1020,431,395,394,610,469,466
RPS19BP1,2270,2472,2414,2594,3145,2564,1556,1784,1874,1861,1485,1457
TMPRSS11A,0,2,0,1,2,2,1,0,0,0,0,1
TMEM262,0,0,2,1,0,1,1,11,1,2,0,1
C3orf70,227,237,232,258,156,161,80,170,290,352,94,65
TEAD1,4289,4649,5665,4263,3162,4513,8783,10812,10396,7252,7507,6586
OR2AK2,0,0,0,0,0,0,0,0,0,0,0,0
DEFB106B,0,0,0,0,0,0,0,0,0,0,0,0
PLCD1,490,551,555,413,839,475,792,830,1079,2066,767,889
CCK,6,8,16,18,9,6,1,4,0,4,13,2
ENTPD5,532,496,589,409,438,547,980,1189,1195,1085,1145,1010
MITF,67,48,45,74,56,103,575,749,162,122,256,260
HEATR4,17,7,6,19,11,6,1,12,6,5,6,10
NAP1L1,46367,45272,47203,49444,50123,47121,34842,35706,29113,36786,37139,35579
LILRA5,3,0,2,2,6,5,7,8,4,0,4,0
CMC1,497,525,601,480,744,617,560,523,393,432,485,404
SLIT1,59,60,61,36,41,90,40,82,50,730,237,519
LYPD6,559,485,615,444,416,394,945,1221,663,739,1436,1194
AKR1C1,19,40,44,22,90,55,20,42,41,78,21,77
VSTM2B,16,24,19,20,18,25,1,0,0,1,0,0
FOXD3,507,603,562,729,464,461,0,10,2,2,8,1
SPATA21,6,7,8,5,8,9,9,9,6,14,17,3
RNF220,3927,3952,4103,4383,4151,4119,1864,2470,2138,2467,2547,2329
ANGPTL5,0,0,0,0,0,0,0,1,0,0,0,0
SHTN1,932,950,1079,921,1126,1180,1691,2178,928,1393,2333,2028
H1-7,0,0,0,0,0,0,0,0,0,0,0,0
LCE4A,0,0,0,0,0,0,0,0,0,0,0,0
BAGE2,0,0,1,0,0,3,2,2,0,0,2,1
LCE2A,0,0,0,0,0,0,0,1,0,0,0,0
KRTAP12-1,0,0,0,1,0,0,0,0,0,0,0,0
LCE2C,0,0,0,0,0,0,0,0,0,0,0,0
LOC388282,2,7,11,4,5,4,34,35,4,9,10,10
LOC730098,141,111,153,116,136,103,42,81,86,161,54,85
TSPYL4,2222,2156,1880,2403,2120,2224,1711,2351,2549,3636,2677,2054
DAZ3,0,0,0,0,0,0,0,0,0,0,0,0
MT1X,885,840,827,1125,1274,1106,274,245,122,47,135,140
GCNT1,442,424,619,496,449,618,446,108,104,188,777,606
LCE2D,0,0,0,0,0,0,0,0,0,0,0,0
SESTD1,2783,2697,3003,2895,2878,3304,1111,1920,2664,3636,1794,1281
LCE3B,0,0,0,0,0,0,0,0,0,0,0,0
FNBP1,1983,1960,2035,2006,1675,2061,3246,4094,2891,2802,3873,3475
DYNC2H1,1533,1346,1480,1533,1607,1756,1945,1846,1308,2431,1488,1868
MAGED4B,2886,4543,2921,5194,4920,3708,3777,4167,5662,6974,4873,4360
BCAM,2138,2257,2316,2369,2700,2559,695,1105,176,589,2269,2447
RSBN1L,1423,1217,1291,1024,953,1114,1106,1369,1099,1635,1851,1412
NPSR1,0,0,0,0,0,0,0,0,0,0,1,0
WDR86,291,315,398,287,238,274,41,45,77,313,526,332
EPOR,311,308,464,264,289,317,453,656,216,501,759,796
FAM9C,42,46,57,57,39,36,19,27,42,41,34,19
KRTAP9-8,0,0,1,1,1,0,0,0,0,0,0,0
CIDEC,0,1,0,0,2,0,0,0,0,3,1,3
DCC,131,188,88,137,131,307,569,2733,233,1190,267,618
TAF9B,1803,1944,1781,2037,6,4,1204,1751,917,1788,9,1
PCDHB13,165,170,169,151,143,166,248,305,191,210,349,286
MAGI2,1085,989,1351,1518,551,670,144,207,230,350,335,371
LUZP2,98,93,238,113,87,84,1,4,143,213,77,11
LHFPL3,5,5,10,8,0,0,0,0,0,4,0,0
CHP1,3472,3596,3717,3463,3594,3713,5394,5961,3616,3647,5360,5197
FPR3,2,0,0,0,0,0,0,2,2,0,3,1
H1-6,0,0,0,0,0,0,0,0,0,0,0,0
C11orf96,7,4,5,9,5,9,26,35,40,39,14,14
SERPINA13P,0,0,0,0,0,0,0,0,0,0,0,0
KCNJ11,331,325,472,268,273,221,12,16,34,85,34,47
CDHR4,40,16,23,16,24,18,9,16,14,30,19,12
COL4A1,6120,5902,6221,5330,5154,6254,70120,47581,150038,50994,49084,50281
RPL7P48,0,0,0,0,0,0,0,0,0,0,0,0
PLEKHG7,0,0,0,0,0,0,1,3,10,3,0,0
GJA4,216,204,95,93,316,286,2,9,1,4,63,42
PTMA,83555,78565,81363,87404,86253,78725,15673,29113,27460,40524,23702,20672
H2AP,1,0,0,0,0,0,1,1,0,0,0,0
HSPA14,2493,2467,2368,2683,3003,2796,1135,1286,1280,1632,1351,950
ATP13A5,0,0,0,0,0,0,0,0,3,8,1,0
SIRT7,612,619,617,605,618,590,481,675,606,500,532,581
IFT140,848,991,1227,950,780,785,937,1135,1131,1759,2015,1558
POTEG,1,0,0,0,0,0,0,0,0,1,1,0
AGMO,53,39,27,46,66,61,23,18,14,37,42,34
SBK2,24,39,72,34,26,20,47,66,6,10,91,101
CYP26C1,3,2,4,6,2,8,4,3,1,12,0,0
TLR5,29,11,33,28,22,10,46,8,52,28,51,52
USP7,12166,12456,11858,13066,12360,12273,6192,7251,8521,8820,7375,7302
NANOS3,2,3,3,2,1,1,30,20,25,8,36,48
FOXD4L3,0,0,0,0,0,0,0,0,0,0,0,5
NHLRC1,13,28,15,11,21,19,9,4,3,3,11,9
DPPA3,88,75,43,126,50,54,1,3,0,0,2,0
COX8C,0,0,2,0,0,0,1,2,0,4,0,0
PLEKHN1,49,46,87,36,41,42,145,174,37,3,72,81
ZNF385C,214,218,321,242,216,291,52,74,82,143,113,139
LINC02583,0,0,0,0,0,0,0,0,0,0,0,0
MAGEH1,511,482,487,529,560,469,765,884,1040,1435,1005,903
TET3,2254,2251,2189,2528,1678,2291,2116,3007,3166,3247,3296,2533
ZNF286A,3357,3899,3579,3902,3307,4077,1745,2490,2679,3305,2546,1986
ISG15,415,396,483,289,891,636,1210,1262,552,327,1041,1052
EXD3,161,159,259,181,159,154,375,382,247,342,860,686
OR5W2,0,0,0,0,0,0,0,0,0,0,0,0
MYMK,0,1,1,0,0,2,0,0,0,0,0,0
C17orf97,103,67,57,113,87,88,111,119,75,124,111,106
ZKSCAN4,307,298,374,411,400,351,289,305,228,292,316,274
RGPD1,203,256,275,268,146,258,404,543,588,593,668,636
DHRS4L2,553,578,446,526,624,488,685,821,605,701,892,808
SAMD11,1,1,1,0,1,1,30,169,73,103,400,676
PERM1,0,0,0,0,0,2,0,0,3,1,0,2
VMAC,54,48,61,58,68,56,125,183,106,164,277,263
TSPY13P,0,0,0,0,0,0,0,0,0,0,0,0
C5orf52,0,0,0,0,0,0,0,0,0,2,0,0
HAPLN4,1088,1124,987,1291,879,861,0,0,0,31,0,0
ERC2,353,360,364,508,405,467,245,155,183,153,160,119
B3GLCT,450,417,400,343,567,556,1847,1989,1571,1757,2254,1749
SPRY4,5073,5080,5577,4865,3127,3908,2148,1785,6189,6861,2193,1670
ERAS,0,1,1,2,1,0,1,7,2,3,3,6
KRT18P59,12,12,10,8,7,6,30,16,25,29,22,14
TRPV2,74,39,49,41,110,115,3238,3350,462,39,1152,1737
AMTN,0,0,0,0,0,0,0,0,125,27,0,0
EZHIP,1,6,1,5,0,5,0,0,0,1,0,0
C2orf88,47,30,46,20,39,16,29,15,18,21,13,27
OR2T27,0,0,0,0,0,0,0,0,0,0,0,0
TMEM203,1605,1523,1727,1601,2081,1728,1151,1255,1120,1446,1304,1157
SLC18A3,0,0,0,0,1,1,0,4,55,12,0,1
KBTBD12,16,13,15,26,18,25,2,8,28,15,27,11
THSD4,294,318,380,313,298,337,2169,2828,565,1001,1678,1487
GTF2IP3,0,0,0,0,0,0,0,0,0,0,0,0
DNAJB13,5,2,4,4,3,6,4,14,16,8,1,22
GABRD,61,60,69,48,57,47,0,4,2,4,0,0
AMY1C,0,0,0,0,0,0,0,0,0,0,0,0
TCEA1,8118,8038,8186,9583,9684,8437,5061,5769,6100,6293,5573,3971
NHEJ1,1237,1279,894,1389,1386,1318,587,684,799,804,518,458
FANCA,3086,3242,2733,2768,3188,3015,684,1078,1735,2990,2330,1004
SECISBP2,4117,3889,4531,4234,4195,4678,1981,2786,2745,3347,2970,2277
OR52B6,0,0,0,0,0,0,0,0,0,0,0,0
C9orf153,6,2,0,4,5,1,4,3,11,1,16,1
SSX7,0,0,0,1,0,0,0,0,0,0,0,0
ADH1A,0,0,0,0,0,0,0,0,0,0,0,0
OR2B7P,0,0,0,0,0,0,1,0,0,0,0,0
SEMA4D,2560,2637,2771,2372,2165,2115,568,743,444,1075,1056,810
KRTAP10-8,0,0,0,0,0,0,0,0,0,0,0,0
LIN28B,8551,8825,8878,10102,7693,9095,4050,7003,3888,6867,5946,4904
DIPK1C,3,2,4,0,2,0,0,2,0,9,42,32
DNAH17,49,48,65,58,32,33,2,5,26,25,2,2
MCRS1,3843,3958,3771,4113,5131,4176,2137,2880,2566,3123,2938,2578
TMEM72,0,0,1,3,1,0,4,7,0,3,7,24
FANCM,556,406,561,611,643,762,262,573,380,1041,568,582
FAM205C,0,0,0,0,0,0,2,0,0,0,0,0
ZNF70,309,339,326,284,210,256,402,534,646,849,560,496
CARD9,17,40,19,27,26,10,51,27,63,43,27,17
PEAR1,104,154,75,39,88,118,3438,2772,2498,1541,2322,2425
ZFP69B,383,365,521,501,364,408,251,254,400,402,208,173
TMEM202,0,0,0,0,0,0,0,0,0,0,0,0
SOWAHD,46,48,63,68,52,41,5,2,3,4,2,2
ZFP69,277,227,214,252,278,234,89,171,171,240,119,80
HELT,0,1,1,1,0,0,0,0,0,0,0,0
RTL4,10,7,29,5,4,8,0,0,0,0,0,0
TMEM220,307,309,270,384,436,446,128,220,33,46,129,112
C2orf78,9,8,27,3,8,10,1,0,0,1,2,1
H1-2,280,284,176,260,460,463,248,206,77,126,326,320
PLSCR3,1430,1404,1547,1465,1508,1304,2192,2470,1854,1463,1947,2184
EIF4EBP1,3471,3390,4340,3924,4351,3510,2855,1949,5104,3610,1291,1137
P2RX2,34,41,53,52,9,23,2,1,0,1,0,1
ASCL4,0,0,0,0,0,0,0,0,0,0,0,0
OR6C75,0,0,0,0,0,0,0,0,0,0,0,0
CCDC157,239,262,271,264,256,229,164,204,212,303,237,250
TTC24,3,3,2,2,3,3,0,0,0,0,3,0
FAM122A,735,737,702,750,720,709,633,776,685,631,757,603
PALM3,1550,1457,1764,1489,1402,1178,105,424,159,270,105,186
GFRAL,0,7,4,3,2,1,5,9,5,7,9,4
FYB2,14,17,15,5,4,6,12,14,9,26,56,60
CXXC1P1,1,0,0,1,2,0,0,0,0,1,3,0
OR5H7P,0,0,0,0,0,0,0,0,0,0,0,0
SHISA7,58,53,97,53,26,35,9,7,21,32,7,19
LRRC74B,31,51,30,30,29,44,10,48,16,47,41,22
DMBT1,2,8,2,7,1,2,0,2,3,4,1,0
CLEC17A,3,2,5,4,2,14,4,2,1,8,1,3
OR51I2,0,0,0,0,0,0,0,0,0,0,0,0
LCN10,33,40,57,41,51,33,0,0,0,0,2,0
LDLRAD2,39,48,64,63,63,73,26,31,13,12,25,29
C2orf66,4,3,1,1,2,0,10,19,15,24,46,21
OVCH1,4,1,1,1,0,1,11,45,0,1,16,1
LOC100288637,672,704,764,649,603,642,449,654,741,1023,633,395
PMS2CL,528,641,608,618,692,572,644,708,816,923,733,728
CYHR1,1739,1794,1871,1737,1869,1587,1819,2090,1974,2677,2765,2559
COL14A1,1710,1436,2274,2227,932,949,684,2519,417,410,5874,3871
DNER,109,118,191,94,86,86,30,154,111,625,17,6
CPSF4L,0,1,1,0,2,1,0,0,2,1,1,2
KLHL17,438,598,593,529,435,500,393,557,765,709,707,796
ZCCHC13,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G2C,14,12,14,7,11,11,4,9,11,10,9,12
ANKRD19P,65,66,167,186,49,35,16,11,20,7,5,5
ZSCAN23,74,61,82,88,67,54,107,134,74,180,166,221
C17orf99,11,13,35,26,15,23,12,13,25,26,47,10
OR7D2,58,52,61,47,52,58,56,81,111,102,119,101
TPRG1,21,13,13,16,11,35,61,36,34,40,55,124
SNHG28,1,4,2,0,4,2,30,32,24,8,28,47
MORN2,246,205,245,230,294,201,426,538,409,590,382,420
RTP5,0,0,0,0,0,0,0,0,0,0,0,0
S100A3,2,0,1,0,4,1,313,344,184,16,233,227
UBQLN2,2429,2404,1936,2351,1998,2131,2925,3591,2947,3029,3226,2926
RILPL1,250,211,417,223,198,194,1169,1289,1379,1440,1293,1253
CTSL3P,2,2,0,1,0,1,0,0,0,0,0,0
C19orf67,0,0,0,0,0,0,0,0,0,1,0,0
ZNF490,117,139,121,126,66,171,129,132,160,82,154,135
CLCN1,36,26,17,24,32,40,3,10,0,4,9,2
NRN1L,60,56,42,74,38,52,0,0,0,0,7,10
NWD1,15,7,7,18,18,12,17,10,12,31,15,5
ARL4C,897,908,987,1233,727,704,20294,22629,6584,2816,11479,13096
RNF133,4,3,1,5,1,1,0,0,1,2,0,0
TMEM221,52,71,83,85,53,34,24,41,47,82,106,68
TREML4,0,0,0,0,0,0,0,0,0,0,0,0
RAB42,450,412,446,380,425,461,27,44,29,46,57,58
WNT7B,15,5,13,8,13,6,237,383,91,432,144,80
C11orf95,1432,1676,2260,2105,1616,1889,1364,2092,1683,2447,3046,2415
SCGB1C1,0,0,0,0,0,0,0,0,0,0,0,0
PRSS45P,38,36,34,35,25,8,0,0,0,0,0,0
PLA2G4E,11,9,2,6,5,6,2,3,4,2,6,0
GPR89B,1044,1003,985,1052,1105,1149,727,829,695,823,810,843
MESP2,13,15,26,15,25,11,8,10,11,18,8,2
FAM25A,0,0,0,0,0,0,0,0,0,0,0,0
ALOX15P2,0,0,1,0,0,0,0,0,0,0,1,0
EYS,33,37,36,31,23,35,34,58,61,50,81,53
C6orf132,4006,4363,3577,4772,2791,2950,122,110,115,22,160,139
DAZ1,0,0,0,0,0,0,0,0,0,0,0,0
OR2AG2,9,8,7,6,7,4,2,2,4,8,4,5
MAPK12,827,825,742,742,1135,976,1810,2355,1885,1223,2334,2080
TMEM215,45,33,38,34,14,22,0,0,0,0,0,0
NUTM2G,12,19,20,22,23,33,0,0,0,2,5,5
COL4A5,2712,2708,3216,2647,2796,2495,4575,7324,5648,17134,15497,12099
KRTAP10-6,0,0,0,0,0,1,0,0,0,1,0,0
AGRN,7022,8196,9798,6954,7397,7855,18629,21272,14110,16413,24460,27223
NHS,1238,1162,1394,1165,978,1265,487,314,670,973,736,415
OTOG,97,47,70,31,61,47,2,0,1,3,1,0
FAM166A,1,0,0,0,0,0,1,0,1,2,20,23
TMPPE,102,94,105,90,71,111,170,209,151,121,137,103
ZNF626,582,606,812,863,422,410,647,629,528,710,582,399
HEPACAM2,0,0,0,0,0,1,0,1,1,1,1,0
