gene_name,H9_WT_B1,H9_WT_B2,H9_KO_UGP2_B1,H9_KO_UGP2_B2,H9_KI_B1,H9_KI_B2,NSC_WT_B1,NSC_WT_B2,NSC_KO_UGP2_B1,NSC_KO_UGP2_B2,NSC_KI_B1,NSC_KI_B2
SMCHD1,4435,4644,4463,4407,3816,4614,4233,5089,5179,6171,5469,4366
MYOM1,20,21,26,32,33,32,35,60,39,49,76,27
MYL12A,7190,6806,7274,6768,9753,8392,23777,22361,19536,16198,16007,17378
CEP76,839,764,857,970,869,878,500,502,516,518,650,577
ST8SIA5,260,195,250,180,97,159,29,51,31,8,43,44
CEP192,2536,2377,2602,2508,2440,2728,1438,1810,1731,3418,2561,1874
RNMT,4017,4026,3876,4431,4444,3763,2605,2614,2822,3117,2838,2460
SMAD7,1435,1292,1272,1019,1546,1758,1128,1036,805,641,1265,1566
LIPG,622,701,509,980,689,667,3945,2546,1007,2584,1983,2603
LAMA1,4865,4573,6093,4933,3559,3243,565,3528,2757,22495,6253,3534
RNF125,934,1096,1468,1119,929,1183,140,237,164,155,124,91
ANKRD12,1019,1220,1299,976,726,1054,1773,2195,1310,1243,1635,1805
NOL4,61,59,19,52,23,23,6,7,19,33,2,0
POLI,1424,1490,1771,1892,1798,1887,1619,1824,1417,1961,2250,2197
MIB1,4965,4941,5767,4314,3431,4721,4738,6901,5754,6182,6537,5140
RBBP8,3449,3210,3156,2855,4738,3924,1537,1794,1450,2071,1814,1390
RIOK3,1066,980,1021,1332,1360,1211,4135,3860,4105,2588,3173,2868
CSTF2,1701,1568,1504,1670,1714,1683,778,1067,1139,1127,940,883
H2BW2,67,55,99,78,113,78,109,101,175,396,305,183
MXRA5,315,329,439,291,154,180,1154,4371,4748,9226,1301,1817
VSIG1,28,31,35,18,34,39,20,25,22,32,66,59
PSMD10,3645,3641,3711,3621,4125,4081,5046,4521,3274,4065,4152,3877
ATG4A,336,329,253,250,576,481,1813,1597,1070,722,1107,1314
STS,454,479,280,512,440,473,1406,1684,988,714,1297,883
TBL1X,4125,4195,5224,4390,3619,3909,3774,3761,3549,5400,4373,3608
GPR143,552,581,832,899,428,415,13,15,57,187,52,73
PGRMC1,11694,12050,11607,13915,11203,9764,3549,4044,4849,8351,4399,3815
POLA1,7304,7279,6779,7609,6727,7556,1137,1679,1864,3758,2247,1365
MID1,3620,3940,4130,3422,3103,3943,1086,1811,4398,4019,1690,1369
NKAP,902,993,959,923,1177,1060,1413,1602,1286,1290,1462,1322
RHOXF1,0,0,3,1,1,2,1,0,5,8,13,11
