gene_name,Control_0nM Dox-1,Control_0nM Dox-2,Control_350nM Dox-1,Control_350nM Dox-2,sg_P130_0nM Dox-1,sg_P130_0nM Dox-2,sg_P130_350nM Dox-1,sg_P130_350nM Dox-2,sg_RB1_0nM Dox-1,sg_RB1_0nM Dox-2,sg_RB1_350nM Dox-1,sg_RB1_350nM Dox-2,sgRB1+sgP130_0nM Dox-1,sgRB1+sgP130_0nM Dox-2,sgRB1+sgP130_350nM Dox-1,sgRB1+sgP130_350nM Dox-2
NAV2-AS4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4R3P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100420800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMG1P6,0,0,2,0,3,0,12,0,0,8,0,0,0,0,8,0
ARMS2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
OR4A18P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COX6CP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR8B10P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTCYBP41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTL1,0,0,0,0,0,0,1,3,1,0,0,1,0,1,0,0
LINC02715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100129607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4A11P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RASSF10-DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LOC100420018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4A42P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PKD1P5,22,30,128,0,0,26,3,130,19,102,33,63,0,21,78,67
SNRPCP6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
LOC100419092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPGT,108,158,22,1,166,126,21,7,62,74,36,62,10,15,8,8
COPS8P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEFB131C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SENCR,33,44,122,82,33,25,139,77,61,0,190,161,12,34,263,184
LOC643709,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
IGLL5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR7E154P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC101927702,0,0,1,20,2,0,5,0,0,0,1,8,0,1,10,12
MRGPRX10P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4A12P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
