gene_name,Control_0nM Dox-1,Control_0nM Dox-2,Control_350nM Dox-1,Control_350nM Dox-2,sg_P130_0nM Dox-1,sg_P130_0nM Dox-2,sg_P130_350nM Dox-1,sg_P130_350nM Dox-2,sg_RB1_0nM Dox-1,sg_RB1_0nM Dox-2,sg_RB1_350nM Dox-1,sg_RB1_350nM Dox-2,sgRB1+sgP130_0nM Dox-1,sgRB1+sgP130_0nM Dox-2,sgRB1+sgP130_350nM Dox-1,sgRB1+sgP130_350nM Dox-2
PSMD8,2915,3185,4922,3713,3592,3022,5100,3906,3977,2548,6469,6275,2305,1498,6860,6150
FBXL19,439,590,403,356,576,547,359,413,603,688,495,395,393,723,663,449
STX1B,52,53,11,31,69,45,18,9,76,50,17,55,90,84,48,21
HSD3B7,689,749,278,294,743,688,295,312,603,371,256,250,350,378,161,132
SETD1A,706,892,730,507,843,772,609,478,1073,792,867,776,435,1182,770,765
BCL7C,796,740,492,417,826,754,513,453,959,591,584,610,911,313,593,523
MAGEB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFNA2,1,1,2,0,0,0,0,0,2,12,0,5,0,2,2,2
CIRBP,1404,1440,2094,1678,1936,1726,2120,1466,1770,1411,2172,2171,1257,723,2157,1435
ATP5F1D,937,910,437,600,1176,1006,530,328,1199,921,741,707,1271,383,545,594
CBARP,145,185,403,174,175,184,311,301,207,101,454,417,88,233,475,392
PCDH11Y,25,19,20,12,35,14,24,34,24,0,19,22,79,23,32,16
AMELY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKY,123,129,312,185,125,130,393,409,164,110,350,405,42,293,397,287
IGFALS,0,0,1,0,0,0,0,0,0,0,4,8,0,0,5,3
HNRNPM,3472,3852,2545,2645,3795,3400,2555,1741,4943,3168,2295,2736,3770,2009,2334,1877
MARCHF2,295,270,593,348,276,239,547,490,373,244,698,618,184,165,574,574
NDUFB7,439,628,433,456,702,577,499,325,719,332,656,547,620,166,449,518
TECR,1213,1485,1742,1424,1414,1481,1591,1387,1896,1375,2128,2253,1539,811,2366,2431
TIMM13,732,884,587,381,1017,916,665,567,1023,609,865,816,825,291,784,698
CDC34,917,1057,826,1494,1019,857,993,1124,1251,1586,1179,1325,922,567,1694,1465
MTAP,761,1013,893,302,1186,1206,751,364,1289,1209,823,1144,455,682,952,789
MISP,0,1,0,0,0,3,2,0,1,0,0,0,0,0,2,2
CEP170B,1433,1521,3578,3151,1431,1229,3085,3277,1632,988,4449,4972,521,1720,4713,4211
POLR2E,2326,2529,2322,1635,2738,2387,2403,1958,2793,2166,2833,2910,1504,1461,2724,2551
POLRMT,877,736,344,556,736,737,453,285,900,605,452,444,742,556,306,295
HCN2,208,208,506,405,200,180,400,398,202,132,551,644,115,136,522,595
CDHR5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IZUMO4,2,1,6,13,4,0,15,3,7,0,9,23,0,4,18,9
RASSF7,67,174,107,81,142,170,111,31,317,134,128,162,69,149,158,123
GADD45B,804,906,1229,904,988,949,1233,1044,1155,757,1809,1678,517,420,1824,1573
PALM,4,1,5,0,7,15,4,1,42,0,17,19,36,45,6,6
MADCAM1,6,1,13,36,3,3,14,15,5,0,28,41,2,3,40,44
IGF2-AS,1,0,0,12,0,0,7,0,1,0,10,14,2,5,5,20
MKNK2,745,871,1668,1518,861,746,1507,1239,821,792,2066,2357,541,890,2119,1801
ARVCF,92,74,158,148,98,70,188,194,85,55,336,245,49,54,375,298
TRMT2A,499,462,330,669,520,339,397,278,764,910,814,884,528,468,994,708
RANBP1,1980,2365,584,480,2603,2336,662,413,3349,2015,1428,1447,1974,1145,1547,1475
ZDHHC8,974,1118,1303,1094,1228,989,1250,982,1307,813,1490,1503,428,1194,1109,1288
KLHL22,471,450,573,627,542,413,517,512,643,400,756,731,396,414,834,760
MED15,2137,2462,2378,2266,2575,2280,2462,1871,3063,2370,3473,3358,1107,2566,3296,3108
SERPIND1,0,0,3,0,1,1,2,0,2,16,1,0,0,1,2,0
SNAP29,1138,988,1016,662,977,983,828,746,1568,661,1320,1244,684,692,1487,1111
CRKL,1738,1939,1550,1333,1999,1973,1778,1069,2114,1270,1905,2165,657,1784,2192,1828
LZTR1,942,949,1097,1138,1188,1116,1079,717,1104,1301,1265,1277,557,1002,1011,996
MMP11,488,500,191,199,516,463,256,406,128,96,137,115,39,60,53,71
CECR2,0,0,0,0,0,2,2,6,0,0,3,0,14,1,4,3
SMARCB1,1197,1240,525,491,1392,1208,628,486,1394,858,678,813,874,762,726,617
P2RX6,38,12,71,31,15,17,34,60,18,0,33,31,6,45,37,25
DERL3,7,9,15,0,1,7,2,8,6,0,42,9,0,4,13,17
SLC7A4,4,2,1,0,3,6,11,2,20,0,19,17,66,29,16,22
BCL2L13,1521,1471,1455,1584,1647,1553,1639,1405,1798,1406,2167,2128,740,1146,1947,1548
DDT,468,475,499,464,568,507,507,326,660,479,840,795,719,217,967,875
GSTT2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5
OSM,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CABIN1,1369,1575,712,634,1604,1385,841,689,1883,1090,808,927,1001,1450,747,684
TBC1D10A,289,284,334,272,316,304,327,435,385,481,465,439,202,213,500,408
SUSD2,130,116,172,156,132,123,173,153,316,227,370,370,158,329,226,201
SF3A1,3174,3177,2315,2244,2882,2439,2547,2347,4734,2166,3218,3476,561,3487,2655,3104
GGT5,167,149,92,58,198,175,132,102,501,338,357,281,485,371,238,191
RNF215,260,180,338,293,254,215,311,241,314,109,314,340,106,238,367,272
SEC14L2,634,692,1130,847,716,539,788,828,776,548,1139,1238,290,485,1062,1156
SEC14L3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SPECC1L,1924,2280,2177,2046,2320,2141,2433,1691,2819,1492,2465,2798,1009,2330,2478,2167
PPIL2,926,968,380,319,990,930,442,456,1054,716,419,536,614,701,354,350
UPB1,8,4,3,0,5,9,2,4,28,13,2,0,12,10,8,5
YPEL1,11,17,31,33,20,15,21,35,13,28,49,58,7,15,82,48
SNRPD3,982,1203,678,462,1189,1047,842,454,1454,736,1017,1119,1076,476,1041,911
PES1,1749,1652,1389,1698,1814,1535,1538,1097,1978,1178,1919,2126,2017,962,1724,1679
MAPK1,3164,3943,3571,2529,3494,3498,3487,2532,4296,2343,3862,4694,558,2733,4637,3232
GGT1,96,139,128,175,105,143,103,86,148,143,122,155,154,109,171,150
PRODH,0,0,2,20,1,0,2,9,0,0,7,11,0,1,17,39
PPM1F,1083,1639,1303,1042,1467,1106,1084,1079,1636,1315,1107,1411,604,1441,971,1317
SLC35E4,255,291,852,738,321,266,648,563,398,257,1033,1144,269,305,1156,1050
TOP3B,282,374,491,464,420,338,514,407,425,392,631,673,246,391,588,453
CRYBB3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CYTH4,14,4,8,6,6,7,5,18,6,0,38,29,0,3,10,24
ESS2,408,422,214,80,427,417,212,202,625,210,385,402,367,343,340,384
CRYBB2P1,173,224,120,51,282,225,169,116,230,214,203,160,241,126,136,123
MFNG,0,0,1,0,0,0,0,18,0,0,1,6,0,0,1,1
CARD10,132,168,433,318,138,114,361,593,207,83,745,637,50,97,485,447
LRP5L,21,16,33,54,15,16,23,59,20,45,35,60,7,50,67,71
SLC25A1,1738,1751,1625,1428,1823,1718,1481,1347,2483,1667,2293,2378,1236,1317,2375,2234
GRK3,45,68,54,173,58,101,37,57,73,38,46,75,25,85,54,58
PLA2G3,1,2,4,0,2,6,0,0,5,0,0,0,0,2,2,0
LGALS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GGA1,492,510,449,428,668,649,475,491,727,522,588,553,508,538,563,433
HIRA,798,959,717,353,844,858,702,645,941,785,955,963,345,961,837,764
SH3BP1,413,399,375,352,450,398,356,369,588,438,614,574,292,410,675,657
SEZ6L,0,14,0,0,0,0,1,2,0,0,0,0,0,0,0,2
LGALS1,16617,18849,14381,12337,19489,17141,14140,11193,21241,14802,18901,19862,17033,4943,18065,15833
HPS4,398,443,371,588,548,383,437,276,431,253,444,492,211,362,409,295
PIK3IP1,235,240,130,227,276,226,136,156,169,164,130,143,39,71,108,71
SRRD,380,461,350,229,560,474,405,195,529,250,331,338,284,280,375,222
PATZ1,345,389,97,67,454,459,150,98,521,267,207,199,256,395,162,144
TRIOBP,3368,3869,3108,3046,4240,3561,3077,2579,4924,3120,4059,3992,1625,2828,3932,3764
TFIP11,847,982,1214,1126,926,950,1230,968,1093,976,1340,1416,798,711,1451,1254
GCAT,163,246,125,180,242,189,145,92,229,111,203,216,145,80,199,187
GGTLC2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
CRYBB1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
ANKRD54,427,456,522,548,482,463,502,318,601,326,654,738,415,370,664,702
EIF3L,3474,3862,2090,2008,5024,4162,2970,1266,3997,2993,2245,2729,2831,1701,2464,1903
SNU13,1764,1916,1157,947,2301,2111,1234,956,2277,1640,1416,1629,1201,694,1373,1209
MICALL1,2049,2061,2783,2060,2216,1878,2441,2240,3068,1829,3453,4455,1337,3136,3712,3539
POLR2F,459,548,576,366,592,559,560,379,626,365,707,657,574,161,668,634
SOX10,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0
CCDC134,58,80,49,79,72,73,47,27,76,36,97,72,29,74,97,74
DEPDC5,119,126,247,319,187,175,162,151,206,331,205,209,204,167,230,94
PICK1,147,172,130,201,151,140,153,174,232,161,211,181,74,120,154,183
TTC28,627,689,107,53,769,745,133,36,966,275,132,175,197,904,72,123
SLC16A8,2,2,18,8,1,0,8,5,1,0,29,15,0,7,32,16
CENPM,224,262,26,27,290,249,27,27,355,220,58,65,140,171,147,157
SEPTIN3,13,13,77,177,15,4,65,65,42,131,278,266,58,62,304,288
SLC5A1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
TPTEP1,53,62,20,18,86,57,108,93,43,78,36,50,74,14,36,32
SLC5A4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
KDELR3,2082,2269,980,798,2439,2511,1355,679,2234,1219,1178,1181,808,688,857,761
CYP2D6,3,0,0,0,1,0,0,3,1,0,2,0,0,0,0,0
DDX17,3521,3916,2393,1667,4498,4690,2362,1785,4036,2560,2675,3235,1339,3847,2244,1622
DMC1,41,44,20,13,43,49,18,0,95,14,73,72,56,29,48,66
HSCB,155,147,146,41,197,152,108,100,147,86,209,231,185,63,302,197
CBY1,199,220,98,93,315,264,165,102,256,135,152,138,179,119,128,138
TOMM22,1031,1156,913,669,1158,1125,1090,625,1150,576,871,1036,451,408,990,797
RSPH14,1,0,1,0,1,0,1,0,0,0,3,0,0,5,0,5
XBP1,1782,1915,1658,1108,1916,1828,1550,1216,2149,1716,2124,2388,753,974,2235,1841
RTCB,1389,1641,1066,835,1770,1658,1362,886,1908,1071,1197,1231,1238,993,1166,1002
JOSD1,1555,1617,1324,1071,1837,1689,1234,1034,2292,1412,1842,2269,1040,1975,2629,2099
FBXO7,1768,2037,1497,1264,2133,2065,1844,1099,2161,1408,1668,1665,931,1169,1624,1268
GTPBP1,1419,1702,3215,2015,1555,1558,2813,2543,2076,1824,3869,4521,1074,1660,4466,3952
POLDIP3,1439,1685,2082,1409,1618,1447,2108,1941,1835,1028,2359,2446,587,1220,2292,2001
RAB36,195,244,159,83,268,254,125,53,299,289,201,236,97,238,236,255
TIMP3,66078,75515,39472,33447,75468,74832,41640,26862,60668,37081,36287,38708,21568,37469,31044,27809
PPP6R2,883,1120,1009,833,1125,967,907,826,1294,1041,1223,1024,651,807,946,824
SBF1,2804,3110,5277,4411,3164,3043,4412,4097,3311,2429,5916,6631,1826,3114,6160,5500
SUN2,2963,2985,4063,2964,2991,2943,2669,2503,3639,2139,3847,3497,1193,2463,3473,2627
CYB5R3,10643,10755,13766,11440,10636,9846,12002,11423,12645,7290,16749,16868,5387,8111,16971,14463
DNAL4,157,153,111,126,157,138,107,101,156,127,187,143,96,111,142,131
C22orf31,0,0,0,0,0,0,3,1,0,0,0,3,0,0,6,1
MIOX,12,8,12,0,12,7,13,8,5,28,5,9,25,5,3,8
LMF2,4082,4646,7622,6155,4881,4195,5675,5743,7151,4682,11204,11616,3476,5383,11802,11028
RHBDD3,290,272,793,636,281,244,656,612,297,284,1046,954,323,302,1063,877
PACSIN2,1338,1491,1271,981,1560,1374,1280,1175,2059,1319,1766,1827,701,1386,1993,1595
TTLL1,82,110,60,53,109,123,81,45,123,65,56,76,78,61,39,46
RASL10A,5,0,7,0,3,0,7,9,0,0,6,7,5,7,9,12
AP1B1,2780,2748,3798,2958,2801,2556,3501,2857,3530,2747,4605,4880,1277,2688,4411,4207
HMGXB4,623,759,326,350,839,821,516,336,852,712,449,521,717,535,446,305
TOM1,827,793,1134,1010,834,716,1044,844,985,568,1353,1384,436,732,1228,1085
NEFH,27,30,49,18,30,21,50,61,44,8,82,115,25,18,157,150
CHKB,291,281,293,122,412,386,252,177,244,306,355,318,284,168,338,208
BIK,0,0,12,11,0,2,3,3,0,0,9,10,0,0,26,9
HMOX1,1024,1128,1253,1348,1061,962,1259,1179,1378,1049,1846,2196,675,824,1835,1668
MCAT,172,209,139,121,228,227,177,122,255,211,275,261,177,120,237,204
THOC5,626,718,607,611,656,699,637,462,923,735,814,735,734,482,794,567
MCM5,1916,2099,354,338,2287,2094,441,344,3536,1960,1991,2282,949,2186,3593,3284
APOBEC3H,0,1,13,0,2,0,11,20,8,0,18,33,0,0,29,14
ARSA,884,1023,2033,1582,1174,935,1821,1553,1178,743,2581,2609,807,922,2489,2054
TSPO,1790,1927,1912,1449,2203,1852,1812,1437,2364,1646,2540,2795,1527,1033,2224,2021
RASD2,11,12,25,30,37,25,27,14,85,45,32,43,31,49,28,32
TTLL12,904,1109,702,623,1194,1014,871,702,1653,1152,1144,1263,480,1096,1054,949
CBX7,195,201,111,159,240,212,166,103,253,240,208,161,102,229,166,157
PDGFB,2,1,43,11,0,2,9,9,5,0,62,88,6,5,81,59
CABP7,1,1,11,0,2,0,4,6,1,0,17,21,9,5,21,16
RPL3,14400,15148,5760,4892,17193,15711,5889,4337,16832,11241,6077,6412,9199,6650,5936,5331
ZMAT5,229,259,685,568,270,238,685,518,339,196,899,890,198,99,870,847
RBFOX2,4501,5297,2442,1439,5108,4954,2563,1731,5806,2604,2719,2784,2587,3954,2651,1883
SYNGR1,574,646,839,490,585,579,913,630,545,464,934,831,365,198,964,854
TAB1,458,574,499,412,579,550,508,431,717,411,674,653,259,579,535,490
ASCC2,1041,1282,1023,973,1254,1218,1116,952,1591,842,1576,1520,821,873,1465,1316
MTMR3,834,1031,742,639,1087,990,750,547,1059,644,738,750,272,1101,657,526
MIEF1,1229,1105,1950,1190,1106,1079,1542,1491,1106,678,2577,1997,433,801,2443,1725
APOL4,70,54,39,32,60,53,66,29,40,22,46,73,23,42,40,50
PNPLA5,0,0,0,0,1,2,0,0,1,0,2,0,0,0,4,3
APOL1,101,141,232,276,95,127,165,154,179,263,326,389,191,121,338,255
PNPLA3,49,68,134,132,80,66,146,128,82,26,147,148,44,114,110,101
MYH9,48161,58242,21141,19193,59690,53941,21117,17286,65021,43596,27984,27581,20077,52254,22746,23486
CACNA1I,3,6,7,14,3,0,2,9,0,0,12,15,0,6,6,9
SAMM50,757,846,676,602,1012,923,830,548,1059,707,773,999,465,409,646,609
TXN2,896,936,1151,926,897,925,1157,1096,1053,651,1528,1703,574,452,1652,1460
FOXRED2,697,771,460,219,1005,763,533,292,1054,642,618,502,408,1080,530,477
GRAP2,0,0,1,0,0,0,4,0,0,0,3,0,0,0,7,2
EIF3D,3488,3572,2534,2255,3911,3517,2837,1947,4494,2238,3584,3557,2323,2186,3430,3020
TNRC6B,671,1049,1046,778,921,891,968,747,959,949,1321,1379,413,1184,1446,956
SGSM3,400,589,291,394,567,560,221,274,706,1075,429,241,383,370,313,239
IFT27,202,275,225,318,294,225,213,198,339,181,282,333,211,143,215,238
KIAA0930,1617,1765,1872,1687,2032,1713,1843,1582,1825,1659,2060,2434,905,1290,2430,2480
NCF4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CSF2RB,1,1,1,0,1,0,1,0,0,0,1,0,4,0,0,0
SLC25A17,326,421,493,159,461,441,468,212,569,402,559,660,188,159,629,469
UPK3A,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5
FAM118A,185,176,199,118,214,177,215,175,176,48,137,140,230,201,190,143
KCTD17,370,467,170,177,504,455,196,152,497,398,312,312,376,323,202,277
ST13,3529,3993,4136,2918,3877,3325,4279,3017,3873,2494,4405,4970,1932,1656,4363,3347
IL2RB,24,41,9,10,30,43,17,10,38,72,15,7,59,31,10,18
RBX1,634,884,501,419,1103,980,760,394,820,530,705,683,582,214,690,590
EP300,1770,1705,1885,1228,1675,2021,1911,1489,1880,1208,1680,2375,519,2653,1856,1382
L3MBTL2,675,774,654,523,830,668,689,782,968,615,894,816,443,598,833,737
CHADL,4,12,101,61,8,5,105,29,6,0,68,63,0,13,36,66
RANGAP1,5158,6060,4020,3620,5927,5501,3952,3217,7324,4693,5373,5392,3855,4706,4692,4210
ZC3H7B,4523,5097,3079,2662,4783,4608,2967,2415,5008,2771,3724,3953,1602,4521,3175,2803
PHF5A,590,570,459,322,568,617,522,288,749,625,648,558,412,199,887,573
ACO2,1758,1970,3636,3002,2082,1879,3313,2850,2490,1322,3913,4187,1088,1506,4079,3534
POLR3H,1518,1659,930,621,1619,1476,1041,993,1663,1013,991,1178,737,1028,834,903
TRMU,447,661,224,139,717,718,276,137,749,546,309,385,435,530,346,278
PMM1,655,814,298,233,780,699,304,284,945,552,608,644,596,363,553,577
DESI1,1956,1896,1597,1215,1908,1670,1677,1038,2077,1254,1893,2135,1257,1102,2078,1784
CERK,1206,1382,655,431,1783,1518,709,596,1459,721,636,751,576,833,690,503
BRD1,688,552,299,158,723,674,355,271,707,549,447,334,213,513,554,262
ZBED4,531,603,422,269,695,666,431,241,676,338,386,456,149,573,522,406
MLC1,4,3,6,5,4,26,7,0,1,0,25,17,0,3,10,5
HDAC10,130,194,250,81,157,150,163,220,201,233,285,245,136,166,388,199
KCNK10,0,0,22,7,0,0,7,6,0,0,11,16,0,2,21,15
ABHD4,567,634,1901,1951,635,632,2016,1439,489,495,2862,2758,259,479,2454,2030
KHNYN,843,1064,1410,1436,1128,1147,1269,819,1502,602,1876,1699,449,1284,1845,1213
FKBP3,541,695,435,281,873,929,629,321,711,523,425,510,430,205,564,432
SDR39U1,198,215,269,125,216,212,262,217,260,204,326,268,124,119,272,242
CTSG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GZMH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
GZMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBM23,1208,1140,742,634,1378,1202,769,590,1566,1315,877,833,913,898,833,807
PRMT5,1715,1223,1088,1180,1293,1342,1045,864,1616,1462,1268,1359,907,782,1145,658
COCH,15,0,4,0,5,12,4,0,37,3,6,14,0,14,28,24
AP4S1,74,101,131,97,204,158,170,43,84,35,94,109,54,40,93,92
POLE2,97,135,16,6,127,208,31,6,98,63,51,27,105,62,49,18
VCPKMT,31,72,37,14,87,101,67,63,39,69,43,36,24,40,29,35
SOS2,307,416,381,704,455,493,531,160,368,187,361,549,95,293,504,334
CDKL1,71,61,74,35,57,48,90,52,112,30,163,146,16,64,158,95
NIN,715,1126,556,1045,966,943,686,489,971,835,604,720,573,719,1098,590
PYGL,484,538,1557,1302,456,515,1932,1174,520,404,1367,1514,323,285,903,802
TRIM9,2,1,48,47,5,2,30,27,5,0,70,73,9,5,137,74
PSMC6,716,875,729,731,881,964,968,472,976,516,771,932,432,365,891,674
GNPNAT1,1392,1270,316,368,1477,1484,533,325,1023,1190,368,470,395,529,409,312
DDHD1,290,395,305,166,439,423,339,126,332,657,222,248,97,215,443,214
CDKN3,292,390,24,58,413,530,54,34,400,171,47,83,356,107,104,81
CNIH1,1060,1444,831,533,1562,1462,1112,369,1284,523,1001,1249,501,574,1276,768
CGRRF1,78,92,213,253,126,127,302,110,78,46,230,374,38,30,332,255
ATP6V1D,1332,1606,1129,963,1801,1687,1536,609,1541,819,1186,1432,787,518,1252,917
CCDC198,3,3,11,21,12,1,11,3,13,8,16,2,0,14,10,9
PLEK2,175,153,76,62,252,203,82,61,334,391,205,212,257,107,256,235
PIGH,87,99,80,85,87,102,152,121,137,152,109,167,52,32,192,162
LRRC74A,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
PSMA3,943,1155,843,689,1171,1275,1053,513,1309,959,973,1198,736,329,965,758
VTI1B,1291,1506,851,631,1485,1453,1040,895,1301,1146,853,1071,690,493,937,707
TIMM9,207,308,87,57,357,368,160,62,243,268,123,182,173,64,87,101
GSTZ1,156,147,175,184,179,155,162,163,223,95,288,228,171,52,223,241
KIAA0586,461,603,133,27,811,725,162,67,643,308,129,195,224,237,254,108
TMED8,405,388,218,172,459,526,319,119,555,210,318,388,189,334,340,257
SAMD15,9,10,13,4,18,13,22,4,22,17,18,25,13,15,22,33
AHSA1,2142,1923,1848,1934,2129,1866,2164,1293,2070,2044,1889,1985,747,978,2265,1358
DAAM1,72,198,88,139,218,137,134,229,118,165,231,137,93,116,115,105
ISM2,0,0,19,32,1,4,32,20,3,0,9,18,0,5,13,23
SPTLC2,1727,1876,1284,1079,1879,1727,1448,569,2228,2281,1603,1967,740,1340,1600,1313
RIN3,928,999,869,868,1096,948,1030,1035,1421,1151,1863,1676,680,1756,1541,1774
LGMN,1835,1872,3812,3912,1927,1781,3582,2827,2230,2016,4906,5292,1018,1505,5380,4547
ALKBH1,166,202,212,381,206,215,263,212,211,112,330,500,72,126,340,259
SNW1,1217,1357,876,661,1392,1512,1027,558,1408,1074,958,1463,1297,613,1091,791
CHGA,0,0,0,5,0,0,1,0,0,0,1,0,0,0,4,4
DHRS7,987,1254,1763,1430,1263,1296,1912,1380,1214,861,1843,2182,718,503,1924,1741
PPM1A,443,649,683,695,647,688,1018,639,559,701,918,1162,256,388,923,699
SIX4,338,366,331,183,452,387,395,248,448,377,541,531,110,338,587,443
GALNT16,25,18,35,24,13,22,73,41,86,141,135,193,24,73,170,129
CEP128,304,253,13,0,188,209,56,9,256,376,18,27,151,233,36,25
ERH,1394,1922,748,473,2507,2585,1105,469,1825,1356,912,1112,1089,392,949,606
HIF1A,4372,5806,3488,2655,5908,5807,4815,2879,8018,4126,4629,4877,2031,4600,4384,2858
SUSD6,822,847,2627,1942,1047,938,2566,1750,1026,802,3117,3701,311,992,3258,2689
SRSF5,1213,1109,2110,1547,1244,1094,1981,1695,1378,1139,2341,2373,926,601,3126,1972
SLC10A1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
EIF5,3099,3146,3378,2416,2861,3004,3426,2764,3503,2180,4297,4276,2979,1553,4246,3490
SERPINA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC8A3,25,19,188,159,21,19,176,130,17,25,116,187,6,18,218,224
DICER1,625,814,411,740,918,807,493,255,710,866,406,607,190,445,530,310
ZFYVE21,557,646,481,432,797,661,660,391,679,650,647,757,398,325,813,628
MTHFD1,2407,2694,550,729,3063,2836,513,342,4109,2882,1002,1209,2662,2188,1155,1106
TCL1A,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZC3H14,1182,1215,504,388,1419,1293,666,472,1240,707,608,651,547,641,613,468
TELO2,831,841,383,342,1185,998,456,441,1373,809,702,799,657,1036,1067,924
PCNX1,1364,1744,1338,1054,1750,2464,1573,960,1960,1502,1576,869,1093,1380,1188,927
BDKRB1,538,745,290,269,707,758,384,363,1004,714,619,644,753,614,621,563
GSKIP,259,288,148,263,361,253,225,142,376,246,222,238,71,70,400,151
VRK1,289,311,139,31,480,468,339,154,331,307,172,241,303,151,344,283
PSMC1,1140,1230,903,775,1645,1499,1277,548,1568,1469,982,1218,3075,631,1034,878
PAPLN,22,56,87,78,39,27,119,46,42,0,133,126,39,36,225,162
RPS6KA5,33,173,90,12,57,50,90,32,63,424,199,134,465,113,429,277
PPP4R3A,878,950,1296,850,878,793,1240,1013,1156,721,1479,1820,442,793,1778,1093
C14orf93,71,101,70,78,107,74,56,68,126,78,94,82,68,49,68,48
PSMB5,2102,2306,2321,2031,2529,2350,2562,1905,3011,2053,2655,2912,2077,891,2627,2363
YY1,1861,1928,2267,1293,2134,1692,2249,1909,2425,1047,2613,3186,1112,1367,3130,2486
ACIN1,1935,2382,2136,2102,2372,2278,2612,2134,2430,2134,3002,2685,2351,2207,2933,2148
CCNB1IP1,398,466,161,144,505,547,224,105,459,130,192,296,245,217,288,204
TRIP11,661,724,703,315,1189,1084,629,345,734,246,494,672,313,520,723,675
APEX1,2356,2612,1988,1672,2939,2721,2103,1792,3390,2228,2610,2870,1619,1164,2394,2222
PABPN1,2192,2007,1109,1114,2504,2580,1450,953,2378,1232,1462,1379,2553,1129,1391,1038
EFS,633,630,446,280,773,633,464,391,1026,630,953,926,411,712,1061,1036
ARHGAP5,547,1026,594,253,1461,1431,818,482,773,866,457,893,476,389,516,443
CINP,651,629,283,168,677,649,368,216,714,464,358,413,486,269,415,346
DHRS2,19,7,58,37,11,8,87,61,51,26,24,113,60,24,40,34
SRP54,1356,1589,976,645,1821,1818,1451,517,1614,970,1130,1366,692,555,1315,848
CPNE6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHD8,1785,1514,991,1254,2262,2045,1311,918,1781,2031,1267,1407,1889,1344,1488,1250
PCK2,692,592,794,541,680,563,700,537,856,720,1497,1681,420,498,1603,1494
PRORP,406,483,299,354,564,540,346,298,510,467,425,393,214,279,400,433
DCAF11,950,835,541,787,826,895,600,485,947,710,678,710,360,610,501,635
PSMA6,1551,1824,1451,1174,2060,1894,2026,1035,1879,1462,1766,1965,1210,591,1866,1338
NFKBIA,1197,1266,1223,905,1479,1481,1085,1179,1617,914,1851,1394,1155,944,1677,1233
EMC9,149,180,131,83,178,154,133,58,261,76,202,247,159,58,219,180
PSME2,1949,2078,2778,2402,2096,2002,2810,2334,3031,2457,4425,5073,2661,1210,4487,3780
BRMS1L,204,157,287,148,208,130,386,215,145,108,317,260,36,82,279,159
REC8,45,29,42,6,21,35,16,15,40,79,13,30,103,72,53,6
TM9SF1,1646,1583,2197,1887,1561,1481,2200,1735,2206,1157,2412,2988,1002,1363,2591,2205
SEC23A,3324,4258,1616,1637,4512,4611,2075,1053,3963,2794,1778,2249,1151,2028,1392,986
GMPR2,753,729,1098,1192,763,956,1097,859,863,306,1236,1192,643,346,1016,1034
PNN,753,804,375,393,933,982,416,426,1081,855,448,454,1184,434,574,562
RABGGTA,321,492,1018,861,506,456,1156,1013,547,464,1375,1221,483,300,1443,1221
NFATC4,1472,1439,1393,1414,1576,1444,1569,1116,1391,939,1774,1774,2418,1094,1469,1228
PLTP,758,820,1006,774,897,768,921,884,1094,691,1427,1507,613,628,1480,1297
PCIF1,424,475,357,320,488,503,374,247,683,566,430,459,334,368,565,389
GSS,857,914,856,736,989,965,883,604,1165,818,1170,1148,714,663,1135,1064
MMP9,34,18,15,27,23,28,18,26,113,65,67,38,84,65,40,56
VSX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TRPC4AP,2263,2542,2001,1360,2720,2441,2036,1281,2974,1686,2146,2259,958,1793,1991,1591
PYGB,3264,3420,2969,2317,3402,3177,2745,2362,3711,2547,3387,3645,1634,3373,3094,2751
ABHD12,1301,1611,2378,1805,1454,1471,2372,1679,2127,1839,3265,3683,1085,1174,3920,3092
PROCR,515,637,1004,960,597,563,878,780,713,460,1212,1336,484,408,1416,1214
