gene_name,hESC_Control_1,hESC_Control_2,hESC_RB1_null_1,hESC_RB1_null_2,hESC_RB1_null_3,teratoma_Control_1,teratoma_Control_2,teratoma_RB1_null_1,teratoma_RB1_null_2,teratoma_RB1_null_3
UNC5C,17,18,24,18,13,433,320,586,765,1347
MRGPRG,0,0,0,0,0,0,0,0,0,0
TSEN54,564,471,844,746,642,511,491,393,378,1176
RGMA,876,1077,1627,1689,1153,971,1023,3824,6299,2762
ASB18,2,1,20,2,3,3,7,2,8,7
UBA7,17,5,16,14,3,89,147,273,72,415
MRPS16,1923,1832,2403,3119,3016,1782,2228,2412,2040,4346
FAM159A,26,17,13,6,14,16,9,24,19,31
RAD51B,84,56,74,105,125,104,97,214,126,219
CRYGB,1,1,0,1,1,0,0,0,0,3
LDOC1,503,428,441,668,845,1346,1419,1860,1918,2995
ARL6IP4,1332,1264,1830,1942,2295,3326,3070,3497,1839,6689
EXT1,3748,2542,1853,1575,3009,1892,2123,2591,1692,6448
SHMT2,1780,1402,1935,2089,2750,1572,1110,1511,2497,3350
MOB2,247,219,293,310,390,458,373,494,534,973
HHIPL1,172,212,270,299,343,177,227,328,323,758
ATP6AP2,2208,3026,4331,4251,3807,4566,5058,7261,5962,9868
ZAR1,3,3,3,3,8,1,1,1,1,0
CYB5D1,437,378,458,463,545,510,523,504,605,1205
FAM153B,1,1,11,3,6,6,21,20,22,3
BACE2,266,235,272,440,434,927,948,1221,468,1629
UBE2E2,431,414,686,695,543,580,446,881,911,1125
SYNM,217,146,118,189,153,120,406,1053,378,926
KCNA4,5,5,2,3,9,4,20,30,39,19
GABRG3,25,31,22,20,16,43,120,80,325,288
PRR34,0,1,2,0,0,2,7,13,8,4
NLRP10,2,1,0,4,2,2,0,0,0,0
FIGN,355,440,737,824,548,170,184,431,1256,775
IZUMO1,7,9,26,9,9,0,2,1,2,3
TMIGD1,0,0,0,0,0,0,35,0,0,7
B4GALNT4,428,418,1820,925,302,1386,1533,1938,3208,3244
AP1S2,5332,4871,13079,9198,6558,929,2206,4419,3772,3065
C8orf33,905,998,1279,1359,1615,1020,1145,1777,2330,2731
DCAF4L1,9,6,6,4,9,5,2,7,6,8
SPACA6,23,26,50,47,25,106,56,83,111,133
MBD3L3,0,0,0,0,0,0,0,0,0,0
ZSCAN22,85,78,86,126,88,96,108,186,224,251
KCNJ14,12,16,25,12,12,38,31,55,61,62
FBXL6,319,305,572,474,408,199,250,279,332,628
C1S,181,163,318,252,187,993,859,1981,947,3073
GLTPD2,13,20,22,9,15,158,246,115,150,455
KIAA2012,17,13,35,29,17,133,82,47,52,67
PRAMEF8,0,0,0,0,0,0,0,0,0,0
LIPF,0,0,0,0,0,0,26,48,0,4
OR5P3,0,0,0,0,0,0,0,0,0,0
DAOA,0,0,0,0,0,0,0,0,0,0
ZNF804B,0,0,0,0,1,2,4,17,23,2
KBTBD3,58,45,108,117,45,54,112,40,116,134
YBEY,192,168,264,251,269,348,322,413,321,529
FAM87A,0,5,3,0,2,5,7,15,12,26
CLN8,1282,882,740,1549,1721,3,26,13,20,114
