gene_name,hESC_Control_1,hESC_Control_2,hESC_RB1_null_1,hESC_RB1_null_2,hESC_RB1_null_3,teratoma_Control_1,teratoma_Control_2,teratoma_RB1_null_1,teratoma_RB1_null_2,teratoma_RB1_null_3
ZNF184,180,140,187,251,196,261,390,610,680,605
DSP,5138,5534,4710,6092,8737,31683,8024,4605,1167,26721
SIRT1,1806,1592,3239,2855,1739,590,624,1058,1289,1342
HNRNPH3,5173,4803,6344,7416,6597,2147,3064,4340,6033,6435
IFT74,256,246,336,405,379,444,408,429,408,668
JAK2,231,156,121,238,208,253,224,345,360,498
IL12RB1,4,2,3,6,6,10,4,7,6,10
ABL1,2601,2768,4073,4474,3747,2650,3825,5286,5240,9512
ACOT7,2375,2135,2262,3190,3935,645,956,2376,2926,2630
SH3GLB1,2658,1985,1448,1774,2568,2499,3069,2722,2556,6245
CDC7,855,777,1864,1554,1101,257,404,1096,1002,1290
SYDE2,107,100,183,159,149,70,102,137,86,369
PCSK5,332,373,373,288,749,405,946,942,407,2901
SCD,12957,12876,19535,20236,17504,3238,4854,6257,15012,11122
TMED1,405,440,524,631,542,843,919,781,607,1872
ABLIM1,2042,1969,2450,3259,4426,3276,2825,3714,2510,4990
ERMP1,1008,802,1294,1148,883,1294,1016,823,626,2639
RAB18,2913,2397,1984,2306,3248,1417,1871,2402,2350,3643
NRP1,792,908,451,488,830,1110,1007,3456,1574,4686
HSD17B7P2,21,17,71,53,17,15,13,14,58,8
PRTFDC1,233,199,339,300,358,333,596,1296,736,1071
PALMD,9,7,7,1,7,275,231,175,271,352
TSPAN15,146,170,321,190,169,656,915,1042,329,3160
H2AFY2,788,1135,1103,1908,939,1779,2920,4664,5770,5616
WASHC2A,1226,1099,1320,1109,1216,897,1105,1126,1191,2428
MAST3,197,207,188,259,183,184,215,299,410,599
MZF1,121,156,386,240,160,305,319,316,791,586
OCEL1,130,135,205,236,192,260,310,195,201,525
MYO9B,1702,1661,2208,2506,2258,1817,1430,3260,2925,4713
KCNK6,427,371,624,288,403,660,475,656,145,2251
CATSPERG,3,8,35,16,2,27,41,53,58,72
PSMD8,2424,2517,2745,3503,3655,3033,3229,4105,3422,7228
FBXL19,1626,1870,1843,2462,2272,935,1238,1292,2465,2539
STX1B,167,97,380,229,90,148,138,567,1454,305
HSD3B7,87,83,110,102,159,321,341,238,171,836
SETD1A,1017,1236,1847,1724,1863,864,807,1117,1481,2447
BCL7C,518,573,354,637,541,1354,1532,1878,1369,3143
MAGEB2,4,5,2,3,12,0,1,0,1,0
EFNA2,77,115,121,127,86,123,266,225,439,317
CIRBP,2153,2494,4762,3303,2666,8173,8691,14835,12450,15627
ATP5D,889,869,1013,1422,1587,2263,2379,2250,1863,4611
CBARP,141,162,272,229,231,197,138,281,1036,512
PCDH11X,43,13,26,20,22,11,24,17,53,12
AMELY,0,0,0,0,0,0,0,0,0,0
PRKY,4,4,8,13,5,51,3,8,28,9
IGFALS,0,0,0,0,1,72,102,52,13,156
HNRNPM,14824,13333,14418,18948,20392,5980,8152,11806,9870,19481
2-Mar,201,276,357,358,347,247,303,434,581,611
NDUFB7,754,782,822,1169,1158,1513,1760,1715,1462,3035
TECR,1555,1597,1599,1866,2289,3100,3855,3236,1979,6691
TIMM13,1966,1807,2017,2488,3546,1829,2173,1668,1626,4394
CDC34,1343,1345,1528,1829,1992,1623,1808,1575,2012,4340
MTAP,1278,1129,2080,1955,1932,797,790,1065,971,1962
MISP,22,13,15,17,33,1769,3502,1152,37,3733
CEP170B,1134,933,1180,1034,1579,1099,1022,1071,1730,2840
POLR2E,2529,2790,3194,4197,4810,2813,3656,3624,3263,8314
POLRMT,1733,1276,2247,2225,2039,1217,1042,1140,1709,2560
HCN2,73,70,95,78,102,55,35,70,177,53
CDHR5,3,0,3,2,1,305,723,325,16,1109
IZUMO4,6,4,22,7,0,19,14,14,27,31
RASSF7,261,272,425,335,355,529,327,193,333,896
GADD45B,81,50,48,62,188,345,99,162,206,600
PALM,175,250,579,443,325,2218,2946,5168,6795,6133
MADCAM1,7,4,27,14,16,68,171,57,39,227
IGF2-AS,0,0,1,1,0,568,160,266,120,907
MKNK2,2150,1934,2883,2870,2802,2252,2656,1656,2055,5526
ARVCF,343,422,1230,600,484,352,385,647,1430,1232
TRMT2A,396,407,895,683,491,431,383,390,505,1217
RANBP1,4392,4350,6598,7695,6496,2150,3174,4909,4052,5719
ZDHHC8,441,488,777,785,519,722,796,672,1225,1956
KLHL22,229,218,304,346,216,609,599,1034,1395,1768
MED15,1244,1294,1125,1571,1905,2094,1270,1953,2366,4582
SERPIND1,1,4,9,2,5,49,119,38,169,956
SNAP29,539,501,462,629,531,579,626,1084,905,1787
CRKL,2971,3029,4164,4586,3829,2262,3298,5202,6109,6556
LZTR1,588,574,1056,704,568,580,706,693,1096,2107
MMP11,76,74,112,83,54,150,261,445,226,519
CECR2,3505,3779,6627,6342,5132,142,378,546,1911,1133
SMARCB1,1047,1188,1684,1759,1276,1201,1239,2297,2185,3375
P2RX6,0,4,7,2,0,32,34,43,18,128
DERL3,29,36,79,60,61,56,37,40,38,103
SLC7A4,9,10,19,11,12,180,157,122,63,1882
BCL2L13,881,686,1141,1192,1295,1077,1037,1250,1368,2625
DDTL,20,20,42,38,28,19,15,27,36,26
DDT,448,454,569,817,673,576,642,642,547,1311
GSTT2,0,0,0,0,0,7,0,5,0,25
OSM,0,0,0,0,0,0,0,3,1,7
CABIN1,1617,1717,2038,2440,2160,1606,1542,2096,3007,4706
TBC1D10A,257,228,185,209,204,320,264,259,364,642
SUSD2,39,42,58,60,59,116,103,122,57,358
SF3A1,5215,5166,4999,6832,8501,2066,2540,3450,4286,7558
GGT5,5,13,6,6,3,323,92,324,65,1021
RNF215,177,164,280,278,192,226,235,366,542,552
SEC14L2,35,14,50,37,53,184,261,217,209,288
SEC14L3,1,0,1,0,0,3,0,1,0,0
SPECC1L,1564,1587,2280,2471,2281,1523,1769,3013,3692,4969
PPIL2,1023,955,1308,1369,1277,781,1029,1020,1402,2508
UPB1,3,1,16,2,2,24,32,32,8,39
YPEL1,86,167,398,353,111,171,256,598,1758,567
SNRPD3,3317,3109,3917,4644,4039,1964,2604,2575,2116,4963
PES1,2589,2167,2361,3086,3757,1954,1735,2076,1894,4388
MAPK1,3230,2748,3501,3601,3849,1982,2683,3873,5059,7551
GGT1,254,301,370,276,316,379,358,138,40,996
PRODH,305,496,1021,557,482,136,210,64,63,253
PPM1F,556,659,585,816,930,591,550,822,910,1882
SLC35E4,130,105,130,143,154,84,103,162,204,216
TOP3B,413,461,949,709,594,142,141,263,430,597
CRYBB3,1,1,5,0,2,0,1,0,3,5
CYTH4,0,8,8,10,9,105,78,97,23,136
DGCR14,445,419,448,540,604,430,460,642,847,1171
CRYBB2P1,179,219,294,273,300,167,153,277,438,391
MFNG,18,14,24,29,14,53,58,193,404,283
CARD10,653,762,667,792,1253,350,524,398,126,1262
LRP5L,41,28,78,44,28,28,9,38,76,59
SLC25A1,1859,2066,2717,3299,2718,2451,3647,3267,2595,7226
GRK3,859,585,1225,1194,1147,222,195,584,1436,815
PLA2G3,126,119,206,219,179,13,7,17,56,67
LGALS2,0,3,15,1,2,399,1645,561,2,1405
GGA1,784,662,1257,939,666,576,632,649,1118,1645
HIRA,1466,1433,2334,2318,2210,1096,1549,2088,2422,4009
SH3BP1,1054,986,1427,1515,1692,1454,827,839,315,2523
SEZ6L,30,79,28,56,40,164,322,1348,4464,849
LGALS1,9251,5252,1527,3131,6922,10253,9649,15580,5400,20382
HPS4,542,453,984,926,678,724,851,918,1592,1487
PIK3IP1,18,45,38,36,36,381,208,198,240,580
NOL12,0,0,14,111,23,0,2,0,0,0
SRRD,651,583,906,956,1340,452,596,759,752,1350
PATZ1,1309,1297,1916,1837,2357,1591,1648,2564,3478,4324
TRIOBP,1092,1373,1638,2037,1575,1962,2239,2563,1931,5670
TFIP11,741,671,929,1036,1125,1071,992,1218,1190,2074
GCAT,250,238,402,432,370,272,380,356,380,750
GGTLC2,0,0,0,0,0,0,0,0,3,19
CRYBB1,18,21,36,44,33,1,1,10,3,32
ANKRD54,240,254,301,331,258,500,425,483,761,873
EIF3L,6506,5689,9791,9213,9279,15916,19321,23520,19563,34631
SNU13,2367,2199,2592,3605,3722,2144,2336,2747,2755,5056
MICALL1,1012,1087,1172,1257,2095,1248,927,1311,1211,2930
POLR2F,633,713,906,1106,983,525,718,820,817,1231
SOX10,78,55,57,76,49,161,106,147,5,424
CCDC134,82,68,143,138,141,56,68,90,92,159
DEPDC5,583,293,621,695,493,180,285,363,497,582
PICK1,366,353,544,464,620,361,423,527,703,842
TTC28,686,771,718,1030,1346,811,1180,2445,3040,3356
SLC16A8,5,3,26,15,7,17,49,20,39,18
CENPM,283,309,443,537,504,234,471,429,357,703
3-Sep,676,626,1787,1159,697,1334,1498,7414,17188,3221
SLC5A1,1,0,0,0,2,115,48,4,4,165
TPTEP1,52,30,141,76,42,13,12,22,21,47
SLC5A4,1,1,0,1,2,0,4,4,3,18
KDELR3,219,242,236,189,282,913,1145,1461,588,3474
CYP2D6,0,0,7,3,8,0,1,0,4,18
DDX17,5060,5346,15160,10856,5219,4605,4147,6151,14562,11182
DMC1,61,57,186,125,146,26,67,206,70,130
TCF20,169,195,253,258,239,138,142,175,292,311
HSCB,213,185,243,284,326,322,356,323,243,582
CBY1,346,355,410,563,393,700,800,811,796,1143
TOMM22,1629,1372,1847,2263,2603,1407,1672,1710,1618,3361
RSPH14,0,3,9,7,4,85,78,66,46,102
XBP1,1919,1945,2270,2353,3181,3753,3133,3276,1580,7557
RTCB,3044,2617,3053,3414,4661,2297,2628,3135,2470,6378
JOSD1,537,582,702,811,774,1375,1672,2044,2185,3783
FBXO7,1285,1299,1453,1968,1952,2319,2087,2681,1711,4876
GTPBP1,2027,1823,3989,2900,3170,1210,1345,2628,3985,3888
POLDIP3,1766,1848,2536,2492,2423,2526,2383,3146,3700,6051
RAB36,66,78,88,115,98,570,524,548,715,784
TIMP3,455,313,170,189,565,12053,5517,6890,4880,16395
PPP6R2,697,820,1410,1225,847,1261,1051,1407,2096,3198
SBF1,1484,1525,2234,2444,2072,2234,2165,3488,5824,5618
SUN2,662,1018,1140,1157,737,1339,1345,2721,3647,3764
CYB5R3,2230,2232,2426,3142,3385,4424,4220,6464,4960,13409
DNAL4,203,177,216,247,273,578,456,517,654,935
C22orf31,0,0,2,1,0,16,4,8,6,2
MIOX,3,1,11,5,2,3,1,3,2,3
LMF2,543,782,1027,973,882,1568,1358,2033,1312,5074
RHBDD3,499,626,1117,973,874,357,528,615,859,1149
PACSIN2,1854,2027,2660,2665,2975,1492,1395,1625,1525,4042
TTLL1,99,88,116,136,74,317,287,472,721,573
RASL10A,11,21,11,11,31,14,10,11,30,1
AP1B1,2584,2615,3141,3573,4433,2276,2424,3525,3461,6738
HMGXB4,747,684,1349,1342,915,408,557,963,1195,1353
TOM1,568,485,590,620,584,1235,1162,1032,759,2783
NEFH,195,200,244,196,207,383,317,425,241,613
CHKB,153,147,458,324,144,217,254,257,365,580
BIK,40,37,149,51,53,141,53,31,8,78
HMOX1,565,445,695,403,572,288,417,864,747,8068
MCAT,196,205,225,329,322,424,506,621,638,933
THOC5,1022,882,1368,1248,1311,571,776,832,753,1748
MCM5,5704,5177,8714,8430,11066,1203,2338,4027,2713,6241
APOBEC3H,3,5,7,7,2,0,1,0,1,4
ARSA,91,145,203,215,156,389,464,478,381,1530
TSPO,99,103,81,132,158,1449,665,838,873,1596
RASD2,45,39,51,50,46,134,148,547,143,478
TTLL12,2217,1942,2854,2800,3747,1674,1508,1518,2316,3918
CBX7,127,120,201,223,166,98,139,102,146,171
PDGFB,132,86,49,43,216,315,128,267,73,958
ACR,0,0,0,0,0,3,5,8,6,6
CABP7,18,8,162,36,12,60,50,303,994,95
RPL3,33394,32890,53649,55896,51465,107218,110578,100397,64912,193145
ZMAT5,187,184,193,238,247,394,397,496,469,792
RBFOX2,3301,3596,3964,4516,4702,2876,3334,6548,9689,9335
SYNGR1,357,334,444,430,685,806,778,825,948,1730
TAB1,558,568,858,851,768,782,938,1144,1433,2086
ASCC2,1159,1039,1186,1375,1568,1233,967,1359,1190,2837
MTMR3,1088,683,1134,1113,1068,1170,1166,1187,2366,2301
MIEF1,1560,1657,1760,1566,1730,1135,1729,1863,2094,3553
APOL4,29,20,54,29,32,259,258,598,313,432
PNPLA5,59,38,72,69,66,1,3,2,3,0
APOL1,13,2,27,8,4,166,122,143,27,303
PNPLA3,136,153,461,251,116,12,37,49,116,123
MYH9,22338,20201,13814,19684,35614,17592,12228,17866,7802,54735
CACNA1I,148,37,84,59,37,32,21,31,165,41
SAMM50,1388,1277,1590,1858,2304,1508,1623,2232,1624,3496
TXN2,911,926,1234,1473,1442,2011,2284,2539,1903,4639
FOXRED2,630,821,1019,1318,985,668,832,1838,2054,2577
GRAP2,9,4,1,9,6,9,20,23,5,53
EIF3D,4914,4363,4917,6125,6649,5573,5433,5083,4259,11538
TNRC6B,1715,1929,2622,2767,3152,641,640,1201,1414,1742
SGSM3,664,696,1743,1071,826,1094,1112,1314,1360,2453
IFT27,323,362,490,527,377,432,401,545,712,1019
PVALB,2,1,2,4,2,6,660,5,4,12
KIAA0930,2255,1474,1438,1599,2573,2189,2342,1678,2708,3843
NCF4,2,0,0,0,3,108,48,81,6,134
CSF2RB,4,1,0,0,4,66,14,70,7,110
SLC25A17,718,590,862,929,1000,415,494,774,854,1151
UPK3A,4,2,3,4,1,367,933,349,3,1194
FAM118A,322,348,542,491,349,304,346,469,477,872
KCTD17,593,500,665,592,836,502,759,1177,1460,1854
ST13,7562,6576,9757,9878,9766,10001,11823,12175,9087,23969
IL2RB,43,90,39,120,115,15,20,31,20,218
RBX1,1122,1031,1260,1432,1382,1256,1390,1564,1523,2885
EP300,3279,3825,6846,6150,4674,1847,1520,2377,3871,5825
L3MBTL2,695,819,1079,1141,1227,641,811,933,1216,2197
CHADL,9,16,3,19,19,143,71,78,73,126
RANGAP1,4242,4058,4708,5870,8342,1799,2070,2777,3065,5507
ZC3H7B,3057,2954,3680,3936,6131,2318,3039,3219,5493,7916
PHF5A,1015,945,1425,1598,1549,446,533,732,741,1150
ACO2,1985,1876,2442,2839,2897,2289,3632,2941,3336,6539
POLR3H,758,720,903,1098,1075,1119,1161,1414,1682,2704
TRMU,722,723,1090,982,867,331,329,622,764,1168
PMM1,218,241,323,321,307,747,838,1055,833,1941
DESI1,1044,926,920,864,1371,653,652,1068,1355,2355
CERK,1075,1036,1844,1668,1495,1584,2073,3140,3150,4416
BRD1,759,765,1062,1176,818,1002,865,1467,2295,2199
ZBED4,932,924,1135,1494,1210,885,978,1654,2901,2951
MLC1,1,0,6,31,10,151,368,605,1004,878
HDAC10,162,239,455,330,202,193,232,181,224,482
KCNK10,109,89,76,28,70,64,158,398,885,407
ABHD4,2142,1778,1330,1590,1994,890,864,1008,618,2254
KHNYN,839,847,1140,1329,1128,2238,1875,1633,1761,5794
FKBP3,2458,2256,3316,4054,3188,1508,2420,3339,2701,4036
SDR39U1,368,309,600,552,517,679,615,757,1185,1618
CTSG,0,1,0,0,0,0,3,8,0,31
GZMH,0,0,0,0,0,0,0,0,0,0
GZMB,0,0,0,0,0,1,1,0,0,0
RBM23,776,783,1236,1303,1068,1446,1752,2681,2553,4235
PRMT5,2860,2424,3708,3557,3699,1437,1590,1932,2220,3516
COCH,328,200,601,282,319,58,127,607,368,310
AP4S1,246,196,364,294,339,159,331,238,240,405
POLE2,365,281,608,610,476,98,157,279,266,334
VCPKMT,127,95,214,162,146,100,101,165,211,195
SOS2,320,316,377,506,282,518,701,1136,1367,1652
CDKL1,34,26,47,33,71,74,45,126,76,273
NIN,615,656,752,975,1096,542,387,1183,1878,1888
PYGL,1545,1255,1353,1996,2115,1016,1825,1227,407,2104
TRIM9,57,23,30,50,39,135,101,509,1613,290
PSMC6,2434,2021,2525,2820,2929,1374,1896,2096,1859,3326
GNPNAT1,1519,1360,1741,1949,2391,590,865,1263,887,1864
DDHD1,441,403,709,601,422,211,340,645,1112,855
CDKN3,397,457,350,703,634,196,401,553,308,706
CNIH1,1820,1566,1863,2126,2723,2113,3159,2987,2148,6233
CGRRF1,280,247,221,347,285,203,356,357,291,585
ATP6V1D,1308,1188,1429,1653,1570,943,1058,1330,1658,2042
C14orf105,3,3,3,3,0,39,41,49,9,102
PLEK2,25,20,21,17,25,173,112,94,3,592
PIGH,74,94,105,147,108,387,393,487,422,987
LRRC74A,0,0,0,0,0,1,0,1,0,0
PSMA3,2661,2433,2785,3442,3058,1464,1904,1959,1618,3576
VTI1B,1500,1351,1897,2310,2262,2012,2226,2023,1849,4020
TIMM9,386,345,453,546,555,738,739,767,636,1384
GSTZ1,417,327,598,593,491,554,616,618,326,1220
KIAA0586,447,493,549,1072,852,305,278,678,983,878
TMED8,701,618,906,973,921,581,663,1354,1630,1929
SAMD15,34,28,46,51,29,118,78,79,98,165
AHSA1,2534,2124,2442,3165,3340,1954,1810,2019,1822,3717
DAAM1,1404,974,949,934,871,713,1150,2342,3948,2314
ISM2,8,14,26,12,33,31,374,37,113,60
SPTLC2,3194,2603,2272,2428,3077,1338,1275,1212,1116,4292
RIN3,102,147,88,190,235,723,579,646,148,1640
LGMN,774,844,1306,1348,1097,1100,1317,2104,799,3728
ALKBH1,297,324,475,551,489,171,237,282,412,480
SNW1,1671,1370,1766,1907,1881,1532,1678,2088,2109,3329
CHGA,158,75,87,106,165,6236,5766,5833,516,26773
ITPK1,942,683,1457,1227,1173,541,982,1153,1017,1800
DHRS7,482,461,517,564,724,972,1700,2043,958,2651
PPM1A,2254,1660,1455,1585,2091,1046,2137,1578,1504,2639
SIX4,695,605,874,829,1271,230,140,97,168,298
GALNT16,64,111,222,157,90,171,594,688,845,615
ASB2,4,7,12,8,13,13,175,93,13,117
CEP128,282,209,318,407,282,157,174,208,301,406
ERH,2758,2684,4088,4874,3015,1937,2435,3619,3321,4649
HIF1A,5540,5151,7629,7719,6785,3200,2994,4897,5318,9029
SUSD6,252,252,290,243,307,969,792,953,1014,1818
SRSF5,2431,2674,6640,3804,2462,1599,1982,2674,2476,3266
SLC10A1,2,0,5,0,0,2,1,1,2,96
EIF5,10474,8283,8703,9681,9925,3312,4164,4541,5332,9602
SERPINA4,1,0,2,0,0,129,222,133,1,422
SLC8A3,53,45,12,19,29,61,152,288,365,138
DICER1,2332,2297,2984,2591,2208,1743,1483,2316,3509,5412
ZFYVE21,524,487,765,776,579,811,574,563,665,1057
MTHFD1,4670,4119,5581,7222,7089,1210,1865,2831,2412,4509
TCL1A,3,1,2,4,0,0,1,0,2,1
ZC3H14,2007,1717,2756,2624,2328,966,1410,1707,1895,2825
TELO2,1193,1074,2166,1732,1786,574,696,952,1191,2035
PCNX1,1667,1441,1936,1984,1605,998,827,1449,2145,3543
BDKRB1,13,5,6,11,7,71,53,120,55,475
GSKIP,903,990,1345,1520,1152,520,643,608,686,1224
VRK1,885,757,1437,1450,981,399,572,964,758,948
PSMC1,2151,1979,1870,2506,2526,1777,1956,2917,2110,3860
PAPLN,174,192,1093,357,119,516,806,823,245,1364
RPS6KA5,83,93,176,142,86,206,193,240,516,561
PPP4R3A,2239,2064,2827,3145,2723,1182,1584,1947,2776,3945
C14orf93,86,76,167,143,116,440,375,422,318,762
PSMB5,3225,2819,3598,4084,4914,2668,3601,3936,2957,7023
YY1,3919,3350,3793,4374,4612,2971,3246,3899,3817,6920
ACIN1,3884,4250,8896,6402,4139,2018,2280,3213,4850,5531
CCNB1IP1,1391,1248,2575,2093,1700,2805,2166,2999,2953,5630
TRIP11,775,737,816,1065,823,921,963,1123,970,1691
APEX1,4390,4345,6450,7712,6663,4230,5664,5796,5823,10532
PABPN1,3381,3346,5367,4696,3858,1954,2539,3353,3167,5039
EFS,329,457,904,834,303,1195,915,1783,2602,2762
ARHGAP5,2087,1705,2242,2211,2230,2154,2702,3906,3577,6607
CINP,487,524,579,761,850,458,631,553,565,1362
DHRS2,37,27,41,43,36,136,131,133,112,192
SRP54,2946,2226,1862,2047,2432,1168,1683,1711,1528,3129
CPNE6,2,1,3,2,3,5,12,5,63,0
CHD8,3407,2745,4472,4505,3375,2974,2269,3819,4065,5374
PCK2,1140,683,1169,932,1579,786,1547,844,414,2703
KIAA0391,1221,937,1275,1471,1786,645,904,864,694,1652
DCAF11,1249,1175,2086,1798,1689,1590,2093,1991,1975,4068
PSMA6,3271,2654,2983,4014,3950,2844,2962,3799,2805,4991
NFKBIA,989,618,666,667,757,2037,734,725,549,1201
EMC9,241,259,412,467,314,163,319,294,338,527
PSME2,901,730,1064,1173,1103,1178,1563,1471,728,2640
BRMS1L,324,205,424,406,336,258,271,421,474,362
REC8,444,356,738,621,382,597,905,1232,1160,2829
TM9SF1,606,426,495,622,534,648,801,833,767,1467
SEC23A,2682,2134,2212,2450,2684,1312,1931,2544,2127,5949
GMPR2,1295,1063,2019,1639,1586,1520,1703,1403,1246,3075
PNN,2710,2607,5414,4100,2718,1132,1419,2340,3275,3822
RABGGTA,239,291,293,346,347,511,306,558,565,967
NFATC4,376,267,804,510,353,1346,887,1187,1416,2246
PLTP,1351,1374,2109,2115,1492,2957,4282,5873,2521,19246
PCIF1,518,487,753,857,817,1324,1309,1968,2236,3183
GSS,702,696,886,996,798,725,813,995,866,1809
MMP9,265,276,32,139,366,721,48,54,19,1445
VSX1,0,3,0,1,0,1,1,18,75,16
TRPC4AP,2832,2371,3589,3312,3585,2183,2441,3054,3153,6359
PYGB,1801,1943,2860,2390,2662,1626,2117,3257,4409,5748
ABHD12,977,836,1424,1188,1268,1531,1927,1877,1369,3457
PROCR,242,194,451,310,311,170,264,268,107,718
GINS1,1362,1318,2153,2515,1903,315,571,927,887,1352
NINL,468,566,1132,846,337,459,754,862,1224,1245
CD40,89,49,121,111,73,62,22,58,20,145
UQCC1,574,529,963,921,761,482,541,691,726,1182
ZMYND8,3007,3714,5982,6476,4887,1117,870,1341,2159,2660
SGK2,10,2,2,5,6,56,77,81,15,97
IFT52,602,562,939,936,895,1266,1361,2334,2219,2945
MYBL2,3852,4137,5648,6229,7496,1028,1904,3841,2269,4748
R3HDML,0,0,0,0,0,1,1,2,0,1
HNF4A,329,379,524,223,99,1572,4366,1460,14,6397
NDRG3,638,493,663,785,752,699,813,1416,1835,1708
SLA2,10,4,10,7,5,14,8,2,5,61
C20orf24,1616,1534,1490,1854,2329,961,1244,1260,1131,1520
NFATC2,44,52,55,63,52,445,466,425,252,1607
RIMS4,612,296,1433,573,607,429,1441,2161,1407,1634
PABPC1L,222,279,1149,542,109,19,33,39,172,109
STK4,1160,896,1187,1253,1391,583,772,1004,1230,1796
SALL4,4125,4494,7252,7693,5808,186,549,257,226,1134
ADNP,4067,4153,5733,5757,4764,3078,3248,5663,7199,8386
PFDN4,779,694,1084,1293,1017,695,579,950,865,1156
DOK5,83,67,84,96,96,227,523,682,1249,602
CSTF1,982,885,1619,1480,1488,688,708,906,816,1397
BMP7,541,644,934,592,744,935,1249,1134,1304,2137
RAE1,1012,891,1513,1483,1229,821,953,1371,1544,2053
TPD52L2,2047,1881,2915,2747,3413,2020,1858,2560,2028,4713
DNAJC5,1351,1374,1748,1796,2387,2222,2128,3773,5417,6001
NELFCD,1126,1145,1379,1710,1545,1563,1854,2567,2765,4405
CTSZ,803,659,790,694,749,2009,2072,3049,713,6690
PRPF6,2572,2370,2808,3325,3530,3712,3131,4310,5050,8352
TUBB1,10,8,6,12,10,4,15,13,15,117
PRELID3B,1114,885,1020,1347,1103,858,1077,1498,1497,2365
HRH3,50,38,158,67,51,5,8,61,237,73
MTG2,337,320,451,512,409,343,414,456,583,969
PSMA7,3596,3449,3665,5217,5115,2485,3078,3955,3571,6474
SLCO4A1,75,44,131,79,78,84,9,39,99,77
NTSR1,24,27,26,42,55,23,49,64,286,154
MRGBP,525,455,552,697,612,541,598,819,1027,1409
TCFL5,245,223,408,457,245,282,286,543,605,555
DIDO1,2085,1941,2966,2968,3415,1657,1696,2223,2587,3809
GID8,2421,2083,2718,3142,3290,3011,2732,3546,3542,5672
SLC17A9,272,175,265,253,274,153,146,182,70,677
BIRC7,0,0,2,0,0,107,20,28,17,155
NKAIN4,56,60,303,141,188,386,501,870,934,1705
ARFGAP1,1137,1597,3100,2108,2041,1553,1156,1571,1747,4051
AVP,1,1,0,1,2,4,6,1,2,13
COL20A1,7,7,23,8,4,8,2,138,4,124
CHRNA4,35,20,78,55,24,95,69,143,1143,121
EEF1A2,319,240,847,428,342,493,2782,2472,6372,3148
PTK6,5,2,16,13,8,44,25,14,21,26
GMEB2,388,453,652,701,773,472,552,665,814,1232
C20orf27,1058,891,1223,1378,1656,731,822,974,961,1714
SPEF1,16,14,8,18,17,169,182,57,94,75
CDC25B,565,705,899,1118,735,1005,1048,2370,2374,3007
ISM1,28,33,30,43,28,142,118,213,69,225
RNF24,619,629,777,905,689,793,850,1681,2191,1913
ARFRP1,380,409,602,568,555,540,623,683,771,1340
NDUFAF5,251,204,308,320,289,180,205,310,460,428
SEL1L2,0,0,3,0,1,0,0,0,2,2
TRIB3,170,99,191,126,268,341,222,371,493,701
RASSF2,243,224,306,343,310,490,828,1676,3401,1896
CSNK2A1,5336,4354,6397,7175,6494,2386,2880,4069,4866,6787
SLC52A3,118,124,139,196,147,88,166,73,8,107
ANGPT4,3,2,9,4,6,10,7,23,10,37
RSPO4,233,135,168,115,109,9,14,47,30,152
CDS2,2703,2355,2755,2958,2998,984,1377,2032,2776,3044
PROKR2,8,8,23,11,9,3,8,7,19,5
HM13,2286,1967,1943,2403,2915,2593,2778,3372,2515,7124
SNPH,121,92,90,161,174,122,152,277,589,378
MYLK2,6,10,16,12,8,23,418,13,19,76
SIRPB1,4,5,3,7,2,5,20,15,14,22
SEC23B,1632,1521,1813,2000,1765,1088,1043,1512,1927,2293
FERMT1,562,373,750,688,898,644,607,321,137,1225
HAO1,5,2,0,0,1,0,0,0,0,0
PDYN,13,31,35,23,9,4,2,33,132,25
CCM2L,75,51,217,147,70,12,19,62,20,92
PLCB4,249,206,435,261,291,149,379,377,636,546
MYL9,6205,7227,3707,7144,13567,3876,6743,14462,2905,23805
HCK,22,13,71,28,11,257,99,131,16,279
TM9SF4,1523,1488,1816,1914,1936,2702,2376,2876,2581,6155
TLDC2,10,4,36,19,6,38,127,53,16,123
CRNKL1,1038,833,1156,1415,1008,935,919,968,1162,1677
POFUT1,1170,1360,1528,1593,1823,1827,2360,2784,1539,4910
SAMHD1,1290,806,3321,1690,722,1060,998,1022,720,1740
PAK5,12,14,14,21,10,91,146,442,1537,166
KIF3B,1055,955,1277,1279,1253,1396,1551,1998,3206,3024
MROH8,13,11,20,9,17,75,59,121,102,193
NOP56,5178,4699,8737,7538,6304,1779,1939,2611,2592,4248
MANBAL,770,827,895,1090,1182,1395,1322,1746,1263,2727
IDH3B,1285,1046,1742,1474,1640,1416,2143,2025,1781,3290
MAPRE1,4899,4059,5006,5790,6220,2498,3164,6302,6437,8240
JAG1,752,749,1091,1567,1080,1756,1061,2205,1301,2435
CDK5RAP1,633,480,866,902,746,339,347,485,537,812
SNTA1,185,171,223,265,303,470,968,874,659,1562
OXT,1,1,0,1,0,8,18,3,2,19
TTI1,1222,1154,2004,2046,1771,517,554,810,1022,1788
E2F1,404,468,980,711,669,276,441,1705,1072,1220
RPRD1B,487,415,844,795,660,654,970,1232,1182,2279
PXMP4,208,160,166,330,313,202,339,492,488,863
CHMP4B,2156,1999,1985,2451,2775,3199,3187,3731,3488,6199
BPI,0,1,3,0,1,2,22,16,6,30
CST9L,0,0,0,0,0,0,0,0,0,0
SLC32A1,4,7,3,2,5,65,81,216,528,182
CST3,691,1317,1390,1127,734,5558,7608,5510,2269,11777
