gene_name,1-2B-8-3:_K562_cells_RBM48_KO_#1,2-2B-9-4:_K562_cells_RBM48_KO_#2,3-2B-10-5:_K562_cells_RBM48_KO_#3,4-2B-11-6:_K562_cells_RBM48_KO_#4,5-2B-12-7:_K562_cells_RBM48_KO_#5,6-2B-13-8:_K562_cells_RBM48_KO_#6,7-VC-8-3:_K562_cells_Vector_Control_#1,8-VC-9-4:_K562_cells_Vector_Control_#2,9-VC-10-5:_K562_cells_Vector_Control_#3,10-VC-11-6:_K562_cells_Vector_Control_#4,11-VC-12-7:_K562_cells_Vector_Control_#5,12-VC-13-8:_K562_cells_Vector_Control_#6
LINC01639,0,0,1,0,0,0,0,0,0,0,0,0
LOC101928228,0,0,0,0,0,0,0,0,0,0,0,0
USP17L8,0,0,0,0,0,0,0,0,0,0,0,0
CT47A3,95,869,361,500,284,150,47,538,44,0,308,338
PTCSC2,0,0,0,0,0,0,0,0,0,0,0,0
MED13P1,0,0,0,0,0,0,0,0,0,0,0,0
LOC101929099,22,11,27,22,16,6,6,3,49,37,38,28
DUX4L26,2,0,1,6,1,2,0,1,7,4,9,3
TMEM147-AS1,1349,392,1636,1472,1777,1817,1853,954,1398,1875,1575,1616
RPL23AP37,15,17,8,7,7,10,6,17,17,11,9,8
ZPLD2P,11,30,13,15,34,19,15,21,12,14,15,17
RFC3P1,0,0,0,0,0,0,0,0,0,0,0,0
LOC100419562,0,0,0,1,0,0,0,0,0,0,0,0
GAPDHP57,0,0,0,0,0,0,0,0,0,0,0,0
RPL12P26,0,0,0,0,0,0,0,0,0,0,0,0
MIR7515HG,0,0,0,0,0,0,0,0,0,0,0,0
SSU72P6,0,0,0,0,1,0,0,0,0,0,0,0
HLA-DPA1,0,0,1,0,1,0,1,0,0,0,0,0
VARS2,0,0,0,2,0,0,0,1,0,0,7,0
HNRNPDLP3,0,0,0,0,0,0,0,0,0,0,0,0
PRKX-AS1,0,0,0,0,0,0,0,0,0,0,0,0
RPL18AP15,0,0,0,0,0,0,0,0,1,0,0,0
RPS15AP25,0,0,0,0,0,0,0,0,0,0,0,0
RNMTL1P2,0,0,0,0,0,0,0,0,0,0,0,0
NFKBIL1,1063,2525,1710,2173,2293,1782,1481,2502,1591,1942,2240,1807
GRM7-AS1,0,0,0,0,0,0,0,0,0,0,0,0
LINC01376,8,19,34,38,39,25,25,44,27,29,40,48
LOC100533669,0,0,0,0,0,0,0,0,0,0,0,0
MTCO1P7,0,0,0,0,0,0,0,0,0,0,0,0
TNXB,0,0,0,0,10,0,0,0,0,14,0,0
WDR46,13,0,0,0,0,12,2,1,0,0,0,0
BRD2,0,257,52,245,260,277,259,388,398,328,301,220
MTCYBP24,0,0,0,0,0,0,0,0,0,0,0,0
TNXB,27,0,30,0,133,91,0,215,0,0,0,0
RPS14P10,1,0,0,0,0,0,0,0,0,0,0,0
LOC100421238,0,0,0,0,0,0,0,0,0,0,0,0
MYO16-AS1,0,0,0,0,0,0,0,0,0,0,0,0
RPL6P29,0,0,0,0,0,0,0,0,0,0,0,0
HSPA1L,134,135,106,130,183,122,127,226,160,183,169,151
LOC101928381,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A3P1,0,0,0,0,0,0,0,0,0,0,0,0
MTND4P14,1,0,0,0,0,8,1,0,4,6,12,1
DIAPH2-AS1,0,2,3,1,7,4,1,1,6,7,6,0
LINC01361,0,0,1,2,1,0,0,0,0,0,0,0
FLOT1,325,403,421,514,444,311,264,324,363,456,945,694
SCUBE1-AS2,0,0,0,0,0,0,0,0,0,0,0,0
NDP-AS1,0,0,0,0,0,0,0,0,0,0,0,0
CLEC2L,101,304,247,181,163,95,229,290,56,117,167,168
