gene_name,1-2B-8-3:_K562_cells_RBM48_KO_#1,2-2B-9-4:_K562_cells_RBM48_KO_#2,3-2B-10-5:_K562_cells_RBM48_KO_#3,4-2B-11-6:_K562_cells_RBM48_KO_#4,5-2B-12-7:_K562_cells_RBM48_KO_#5,6-2B-13-8:_K562_cells_RBM48_KO_#6,7-VC-8-3:_K562_cells_Vector_Control_#1,8-VC-9-4:_K562_cells_Vector_Control_#2,9-VC-10-5:_K562_cells_Vector_Control_#3,10-VC-11-6:_K562_cells_Vector_Control_#4,11-VC-12-7:_K562_cells_Vector_Control_#5,12-VC-13-8:_K562_cells_Vector_Control_#6
GDPD2,0,0,0,0,0,0,1,0,0,0,9,1
SAT1,1953,24796,5248,5957,8962,4601,3548,14212,3894,5797,9278,5891
GNL3L,2054,548,1515,1366,1353,1997,1941,732,1558,1811,1258,1320
SH3BP4,1,25,5,4,4,7,1,30,0,4,1,44
MOSPD2,1235,2400,1934,1604,1997,2085,1582,2536,2121,2448,2098,1853
DOCK6,1059,7988,1227,984,1481,1372,1232,3398,877,1446,2042,1025
ECSIT,2493,1889,1516,1872,1604,2316,2374,1328,1887,2249,1572,1627
LDLR,7088,18383,5797,6397,5409,7235,6474,12570,6778,8417,5682,5562
ELOF1,3994,3024,2191,2566,2518,2344,2611,2014,2078,2636,2285,2416
TSPAN16,0,0,0,0,0,0,0,0,0,0,0,0
ANGPTL8,0,0,0,0,0,0,0,1,0,0,0,0
PRKCSH,12506,21171,12873,13162,13968,12133,12734,15894,11664,15110,13658,12716
CNN1,536,815,183,212,310,343,245,414,302,266,325,117
CDC16,4005,6466,4789,4917,5286,5204,5505,5118,5245,6519,6448,5743
ZSCAN10,0,1,0,4,1,0,0,9,0,0,6,0
THEM6,648,793,587,629,717,696,808,861,603,689,601,492
NECTIN2,3739,4556,3552,4427,4138,3467,3144,4013,3044,4186,3588,3567
APOE,5125,9972,9719,9841,5819,5497,4584,8902,3072,4424,5311,6415
TOMM40,10142,2475,4341,3797,3727,5578,6670,2650,4366,5293,3577,3188
APOC1,1761,6049,2698,2095,2175,1634,1814,4637,1337,1740,2406,2729
GADD45G,2,24,1,6,7,0,1,7,0,1,0,0
LRCH2,948,1289,982,1152,1396,773,670,634,329,540,788,646
XPO7,13853,9729,11164,11642,11389,14525,15110,9057,13964,16506,12505,11937
ACE2,11,9,11,26,9,7,8,1,19,4,3,40
FAM98C,943,1359,914,1411,1573,1281,855,1130,771,1151,1364,888
SAFB2,4502,10308,3382,3364,3716,3869,3955,6452,4214,5190,3752,3224
RPL36,8800,17182,7799,6980,7997,7770,8440,11782,7506,9046,9371,7464
ATP8B3,347,453,440,376,379,581,502,518,560,638,486,474
GDF1,0,26,0,13,25,25,52,0,21,15,9,6
NCAN,7,2,3,12,3,2,5,0,1,2,0,3
KIF1A,2,3,11,5,24,7,14,10,4,53,8,10
GTPBP3,3019,2180,1745,1985,1915,2356,2724,1992,2294,2911,1752,1281
PLVAP,17,16,14,9,37,13,12,12,4,4,6,15
BST2,8607,9421,7152,5543,4978,7156,8645,9134,7812,8652,5296,6229
SLC27A1,176,547,364,322,304,270,237,485,276,365,435,334
NSUN5,4099,3891,3354,3333,3519,3833,3691,3026,2889,3655,3338,3017
USHBP1,12,30,22,23,61,34,12,39,10,20,13,18
COLGALT1,11460,7495,8335,6607,7215,8761,10866,6576,8489,10162,7165,7153
DDA1,2390,1864,1718,1454,1448,1682,1627,1460,1983,1872,1505,1341
MRPL34,2122,1795,1296,1337,1259,1622,1924,1190,1460,1606,1160,1138
PGLS,1078,2211,1608,1945,2071,1727,1437,2083,1205,1772,2094,1591
LSM7,4663,4819,2738,2818,2659,3316,4070,3744,3337,3812,3178,2351
TULP4,988,2723,1770,2213,1840,1398,1617,2379,1353,1615,1840,1364
SNX9,9083,4838,8529,9363,8521,10359,10989,6337,10086,11982,9206,8335
RTN4IP1,2140,346,1376,1233,1302,1963,2003,600,1917,2111,1494,1062
QRSL1,2462,1732,2025,2021,2393,2348,2320,1975,2099,2805,2231,1914
MTRES1,737,231,764,759,718,887,995,405,874,937,880,662
RSPH3,291,211,599,808,670,650,330,438,468,801,1002,826
MAS1,50,87,68,49,86,77,59,61,63,96,124,35
ACSBG2,8,21,10,14,15,4,8,11,12,11,21,17
MLLT1,3321,1876,2718,3292,3006,3149,2779,2233,2127,3152,2784,2534
FUT5,0,3,0,1,4,0,0,9,0,0,0,7
BMP15,0,0,0,0,0,0,0,0,0,0,0,0
AFDN,10098,14816,10226,11882,14008,15392,14369,10762,14979,17941,17851,12062
STK33,143,169,367,295,372,296,233,271,324,412,344,399
EPO,1,1,5,3,1,1,8,1,5,3,0,1
ARPC1B,10665,11052,8475,9338,9404,10012,10705,8610,9289,11106,9368,8367
CACNG6,0,0,0,0,0,0,0,0,3,0,0,0
ZSWIM6,288,478,391,559,551,466,453,532,449,482,612,470
FCHO1,2048,3437,2274,2540,2630,2589,2414,3887,2179,2879,3211,2838
UNC13A,379,395,249,133,196,148,138,617,226,258,404,228
MAP1S,1871,2246,1593,1845,1282,1310,1680,1946,1129,1446,1405,1027
KLHDC7B,7,456,618,1157,883,52,27,1802,33,184,862,1227
PXDN,0,3,0,0,0,0,0,0,0,0,0,0
SSBP4,5100,2093,2222,2292,2002,2955,3511,1582,2138,2833,2333,1817
GDF15,4060,31816,11915,12408,15482,8678,7759,16745,5557,8203,10660,6837
PGPEP1,4476,4272,5496,6173,6651,6154,5640,4777,4641,6487,6038,5305
IQCN,25,104,43,28,51,35,37,83,56,43,8,38
LSM4,7842,7971,6726,5828,6239,8387,8582,5684,7425,9332,5949,4945
JUND,4526,3035,2630,2422,2830,3245,3038,2799,2032,2929,1916,1706
HRC,1181,1396,1203,1097,1321,1508,1313,1066,1411,1748,1508,939
TRPM4,1596,6009,1494,1822,2123,1833,2225,3308,1751,2416,2432,1500
OR11H1,0,0,0,0,0,0,0,0,0,0,0,0
SULT4A1,2,65,25,27,44,13,27,40,11,20,36,24
ZNF557,339,165,397,398,332,273,241,214,307,362,304,443
CRB3,0,2,6,1,4,2,1,13,0,2,0,12
OLFM1,0,0,0,0,0,0,0,0,0,2,0,0
CAMSAP1,3337,2310,3204,3341,3772,3373,3326,2188,2866,3708,3797,3496
UBAC1,14337,8684,13759,13376,15825,15534,16617,8020,14571,18135,16251,11650
ZBTB46,284,397,334,404,414,337,248,311,558,429,333,194
HELZ2,412,1279,997,1185,1264,710,540,2311,697,888,1333,941
SAMD10,375,149,430,430,432,466,373,219,376,356,329,340
LSP1,0,4,3,3,5,0,83,11,3,0,0,0
TNNT3,0,1,0,0,0,0,3,0,0,0,0,0
TNNI2,0,0,0,0,0,0,0,0,0,0,0,0
H19,11119,694,630,567,581,3270,11548,463,6356,6516,1055,412
CYP2G1P,1,31,5,3,27,5,14,37,11,14,20,11
COL5A1,2,79,5,4,17,1,1,252,0,8,9,3
ATXN10,4148,4048,3458,3768,4037,4792,4246,3510,3676,5671,3478,3815
TUBGCP2,3743,3011,2862,3007,3246,3480,4230,2651,3672,4284,4382,3721
CALY,0,3,0,2,0,1,0,6,0,0,0,0
CYP2E1,2,17,2,29,19,0,5,15,3,12,54,22
PNPLA7,32,61,69,120,91,52,50,81,50,90,120,174
HBZ,5557,151,3378,1815,702,3059,3109,97,2296,2492,753,836
PAK4,1391,1375,1035,1195,1093,1289,1238,988,951,1312,1021,887
MNX1,141,553,430,755,1067,497,306,633,213,332,2007,524
ZNF337,513,287,418,453,477,489,441,478,504,611,645,471
CEP85,8510,10471,8338,8245,8327,9259,9168,7981,9600,10973,8133,7997
TAF4,607,410,426,841,474,604,596,373,463,636,317,398
GATA5,68,18,30,34,37,33,61,58,58,46,41,50
RBBP8NL,2,0,1,1,0,0,0,0,0,0,0,0
LAMA5,3677,5641,2345,1759,2509,2655,2822,4925,2332,3396,3481,1856
OSBPL2,1963,5483,2125,2905,2759,2565,2765,4668,2451,3244,2699,2000
ADRM1,4724,2564,2533,2798,2543,2870,3093,2216,2674,3018,2594,2621
ASS1,91,7102,1340,1404,2724,501,510,6083,306,801,2168,1585
PRDM12,3,7,6,10,10,13,11,4,12,35,18,0
EXOSC2,5034,1387,3275,2696,2584,3360,4385,1852,3902,4438,2633,2701
POMT1,1573,2327,1283,1430,1478,1491,1555,1729,1183,1891,1681,1410
UCK1,1031,865,957,1391,1394,1032,967,1131,857,1241,1036,1315
FIBCD1,3,29,15,7,0,0,22,12,3,0,1,3
PRRC2B,10675,13969,10904,12770,12964,11269,9909,10818,9864,12127,11901,12053
CHMP2A,2655,3966,2634,3144,3142,3156,3274,3072,3731,4639,4241,3133
UBE2M,4101,3851,3342,3314,3723,3820,4100,3078,3990,4885,4129,3157
TRIM28,30264,17379,21174,22209,20324,22433,25667,18739,25143,30585,25828,23382
METTL26,1970,1406,1247,1066,1214,1587,1827,1112,1223,1863,1150,825
YIPF2,1925,8320,1936,2464,2526,2306,2271,6166,2022,2705,2852,1680
ATG4D,1425,1270,1151,1434,1618,1317,1357,1393,1117,1579,1417,1076
EIF2S3,27809,58962,35031,36270,39169,35871,37323,52153,33346,43685,41005,34468
TMEM160,1102,563,689,606,541,766,1017,454,450,710,324,261
ZC3H4,2736,242,2776,2280,1784,2743,3244,427,2634,2608,2111,1622
NPAS1,162,371,355,384,315,235,260,426,154,264,355,446
GMFG,879,2269,1316,1672,1398,1049,1042,1771,1433,1769,2139,1880
MAP3K10,390,390,459,425,520,396,362,478,408,385,474,334
ARHGEF16,64,525,180,137,163,68,73,541,57,87,123,113
LRRC47,4759,2909,2581,3542,3733,3501,3764,2742,2925,4271,2732,2834
SESN2,3570,4077,13043,13176,12216,13776,15997,7679,11137,14675,13647,11837
SMPDL3B,29,41,76,57,82,73,57,37,50,67,150,31
ATP5IF1,6488,6308,5441,5729,6166,6370,5962,4921,5862,7409,6957,4855
MED18,1720,1240,1194,1373,1314,1556,1545,1276,1536,1643,1376,1131
THEMIS2,973,815,830,744,1195,1038,1726,904,1022,1611,1817,654
CLIP1,3163,6107,5822,6623,7196,4938,4853,7232,4371,6274,7410,7183
CCDC62,29,99,59,124,104,43,31,220,47,67,112,79
HIP1R,1892,1627,1486,1647,1638,1536,1756,1402,2014,2269,1755,1714
ZNF317,3044,1908,2706,2814,2588,3118,2900,2004,2813,3361,2724,2644
PPAN,4111,889,2172,1840,1795,2392,2745,965,2026,2431,1569,1438
EIF3G,10127,9714,6865,7459,7328,7901,8927,8215,8134,9301,7564,6938
ANGPTL6,22,26,28,35,21,34,19,18,26,32,51,36
SHFL,629,910,472,576,825,556,574,1009,621,767,692,596
DNMT1,20087,12096,15114,13879,15889,17194,19967,13352,17674,21500,16682,13139
ZNF426,1024,785,1559,1533,1458,1625,1496,1609,1642,1967,1730,1806
SLC6A8,5081,3509,3855,3449,2333,4773,4289,2330,4682,5169,3197,3225
PNCK,32,374,101,183,266,75,39,474,92,140,325,194
DKC1,23589,12444,16046,15159,17382,19675,20680,10960,19029,22803,20009,14786
PLXNA3,1338,2125,1920,1348,2370,1150,1451,1186,1412,1907,1806,1732
DUSP9,514,559,210,154,157,275,408,457,317,284,155,173
MPP1,19126,20687,19402,19510,20683,22055,22406,16479,22979,28559,24052,17762
ZNF331,40,1582,423,420,546,101,99,1709,58,168,436,585
ZNF236,576,774,1613,697,1001,686,732,398,579,676,734,630
SLC7A10,0,0,0,0,0,0,0,0,0,0,0,0
LRP3,0,6,0,0,0,0,1,19,0,0,2,0
C12orf65,1871,817,1651,1712,1639,2033,2139,1370,2044,2462,2029,1464
NOL11,9239,3894,5723,5842,5361,7043,7263,3517,6974,8197,6560,6181
UBE4B,7390,7038,7175,8250,7647,7746,7768,6913,7982,9705,7597,8110
CASZ1,146,414,209,188,214,180,149,288,276,132,208,109
PKDREJ,4,0,8,1,0,1,0,3,0,0,0,0
HSD17B3,0,26,2,23,14,3,0,31,4,5,1,16
NUTM2F,3,5,1,2,1,0,0,4,0,5,6,1
HABP4,242,1002,283,390,537,472,237,718,296,451,355,202
FBP2,0,12,9,9,4,5,4,31,5,0,2,13
SLC35D2,817,2642,1172,1445,1855,1166,1093,2050,994,1305,1825,1401
PRRG1,562,549,779,603,694,684,689,612,778,1050,933,715
UBA1,14966,15941,12981,13744,12307,13766,13621,12706,11927,14708,12395,11267
RGN,1,0,1,2,2,5,0,1,8,8,2,0
POLN,26,36,94,69,114,76,44,62,6,20,81,47
TXLNGY,0,0,0,0,0,0,0,0,0,0,0,0
TTTY9B,1,0,0,0,0,0,0,0,0,0,0,0
PPIL4,3004,2982,2631,2376,2707,3509,3072,2764,3423,4073,3208,2507
ULBP2,290,1443,205,194,277,282,278,484,160,202,185,127
AKAP12,282,70,101,146,152,272,141,94,168,188,164,96
SYNE1,30,62,38,57,47,13,39,246,5,35,54,165
ULBP3,7,5,1,1,6,1,3,1,0,5,0,7
LATS1,4430,3866,4233,4680,4360,5081,5339,3292,4494,5911,5549,4567
EPS8L1,520,301,411,550,426,520,469,285,625,485,310,460
LILRB2,0,0,0,0,1,0,0,0,0,3,0,0
AAR2,2170,958,1378,1639,1565,1633,1734,1220,1319,1661,1440,1543
TTLL9,16,28,12,10,13,9,4,25,16,12,6,17
BPIFA2,0,0,0,0,0,0,0,0,0,0,0,0
RBM39,16229,19644,16817,17337,18646,19727,19084,19077,19558,24220,21252,17952
COX4I2,0,0,0,0,1,2,0,0,0,0,0,0
BPIFA3,0,0,0,0,0,0,0,0,0,0,0,0
ZNF341,279,196,145,197,193,183,267,175,230,253,160,212
GGT7,918,2621,1170,1206,1893,1227,1094,2154,1422,1705,1994,1148
DEFB118,0,0,0,0,0,0,0,0,0,0,0,0
ACSS2,4087,14809,3808,4644,4577,7359,5114,8996,7321,9541,6053,4041
EDA2R,3,23,9,27,22,9,16,26,5,5,16,29
ARHGEF9,15,87,113,162,107,21,25,146,14,73,390,286
C1QL1,5,4,6,4,2,0,1,7,0,1,0,0
GFAP,19,82,25,22,47,26,32,67,31,67,76,25
PYY,10,7,3,6,1,4,0,13,3,0,0,3
HIGD1B,0,0,0,0,0,0,0,0,0,0,0,0
ATP6V1E1,7968,13856,7908,10369,9851,7555,8101,11498,7398,8907,10185,9289
ZNF227,573,679,862,1034,827,1155,630,649,1124,1490,1596,902
ZNF428,1400,960,1598,1840,1479,1487,1401,777,991,1449,1537,1067
TEX101,0,86,2,4,15,1,4,66,0,7,6,0
ZNF141,14,43,24,21,28,33,39,30,34,46,11,34
CCL25,0,3,0,0,1,2,2,3,0,0,0,0
COX4I1,14662,15464,12306,13933,12645,14310,13895,11822,12734,15623,13420,11723
EMC8,2692,1601,1320,1181,1161,1689,1806,1212,1487,1738,1442,1023
GSE1,14575,16022,13636,13873,15858,15339,16479,13147,16008,19160,16717,13464
GINS2,3952,2429,3062,2578,2879,3283,3656,2117,2795,3532,2746,2548
CHMP1A,3609,2412,2427,2937,2654,2712,2612,2165,2559,3272,2912,2277
SH3BGRL,2221,2666,3764,3444,3686,3114,2834,2455,3266,4042,4911,4404
COX7B,4136,7157,3348,3418,3624,4205,4521,3941,4316,5312,3792,3164
SLC34A1,0,0,0,0,0,0,1,0,0,0,0,0
F12,450,347,316,274,304,311,428,322,313,314,166,226
PRR7,243,180,181,170,173,175,236,189,93,188,203,79
NFATC1,702,907,685,666,741,602,685,669,613,811,563,614
IDO1,3,0,14,0,9,2,8,0,0,6,8,2
GJA9,0,0,0,0,0,0,0,0,0,0,0,0
CAP1,19687,19968,19841,25311,22769,23789,22202,17189,24037,27607,26421,23489
PPT1,13035,10667,9280,9184,8007,10703,12200,9251,11516,13521,9563,9778
RAB11FIP4,1457,1636,1487,1436,1536,1832,1348,1817,1892,2012,1608,1542
RLIM,3388,6082,3553,3360,3295,4303,4261,4923,4266,5017,4125,3538
CDX4,0,0,0,0,0,0,0,0,0,0,0,0
ABCB7,1937,4753,2444,2469,2830,2777,2566,3602,2722,3501,2881,2283
TRAF3,3177,1708,1503,1785,1519,2266,2558,1576,2597,2414,2339,1788
HAUS8,1222,915,1266,1142,1112,1613,1742,1048,1416,1707,1123,1014
ADGRE3,0,8,0,10,13,0,0,15,0,0,0,0
MRPS25,7518,6203,6974,6845,7269,8460,6998,6055,7278,9032,7631,6383
SH3BP5,2469,4027,2244,3144,3328,2725,2369,3511,2581,3468,3423,2537
HACL1,1711,2804,2419,2505,2910,2486,2276,2899,2329,2885,3082,2350
TBC1D5,3661,4856,4767,4829,6686,5045,4377,4845,4353,6390,6781,5547
CAPN7,2938,6290,3919,3500,4338,3668,3380,5874,4147,4684,4252,4107
RFTN1,2,16,24,27,4,14,3,28,1,19,30,22
C3orf20,11,1,19,28,45,8,13,18,5,4,36,12
RBSN,3166,4210,2807,2794,3340,3373,3221,3717,2943,4049,3608,3036
GALNT15,6,12,15,16,11,14,15,15,14,19,12,14
SLC6A6,14397,16822,7837,6767,7845,11502,13248,10760,14004,16723,8508,6542
KCNC3,965,250,689,558,693,546,741,417,546,838,616,578
NAPSA,80,150,52,72,61,55,76,135,78,86,48,50
NAPSB,0,8,2,3,1,7,0,6,5,11,6,0
NR1H2,2823,1698,2352,2528,2417,2778,2579,2170,2525,2712,2483,2396
LRRC4B,249,348,248,434,294,250,182,608,254,256,432,328
PDLIM4,812,756,569,557,509,741,676,564,740,818,502,478
KIF3A,1343,1144,741,692,980,1089,1285,824,1503,1647,1066,805
MGAT1,4496,4986,3871,4086,4260,3902,3608,5148,3541,4588,4391,3572
GFPT2,3,3,6,45,19,4,1,5,0,2,0,3
TUBG1,4588,3303,2819,2711,3182,3684,4117,2736,3731,4454,2895,2479
PSME3,17666,4166,8767,8823,8530,10768,13635,3817,11191,12978,9505,8340
RPL27,25264,39316,22548,19375,19646,21521,24243,28309,21447,24681,22016,18551
PSMC3IP,1828,3342,2819,2484,3131,2606,2624,2873,2355,3294,3234,2724
AOC3,28,338,31,63,68,8,22,375,7,32,54,73
ACLY,25057,16413,17446,15306,14436,24636,25887,12776,23198,27088,16244,14456
VPS25,4963,3179,3328,3508,3595,4373,5404,3380,4925,5825,4711,3801
RAMP2,0,0,0,0,0,0,0,0,0,0,0,0
AOC2,47,375,80,107,124,59,60,323,28,70,124,94
G6PC,0,2,0,4,3,0,0,1,0,0,0,0
NDUFA2,2062,1933,1656,1655,1372,1869,2012,1408,1727,2072,1292,1448
ANKHD1,9704,15987,9232,9103,10162,11428,11159,11165,11065,13892,12666,9479
DIAPH1,37599,14290,27940,30410,29436,35801,38640,16685,34822,47607,33839,28070
NDFIP1,5895,10917,7040,7558,7314,7418,7327,8065,7138,8789,8178,7358
UBE2D2,6808,8092,6633,6000,6232,6832,6120,6249,6137,7575,8672,6162
TTTY6,0,0,0,0,0,0,0,0,0,0,0,0
EXOC4,5843,11219,6364,7426,8394,7657,8009,8295,7579,9049,8962,7389
ACAP3,1701,2288,1259,1198,1508,1055,1266,2271,1839,1569,1335,834
C1orf159,1470,488,1147,1101,1180,1480,1349,617,1414,1677,1068,1008
ANO1,2,0,3,2,4,0,0,4,5,0,0,0
PPFIA1,3379,3975,3591,4340,4028,3453,3884,4558,3682,5046,4245,3562
TMEM204,1,0,0,0,1,0,0,0,0,0,0,0
KREMEN2,410,93,145,80,63,200,249,61,127,234,97,77
THOC6,1643,1025,1501,1502,1290,1628,1488,971,1424,1642,1054,1309
TRAF7,6820,8874,6673,6079,6580,6864,6408,7136,4826,6950,6253,5120
BARX1,0,26,10,4,11,0,1,75,0,3,0,5
NINJ1,241,494,414,455,497,389,373,522,339,464,545,336
CA6,1,0,2,4,3,4,2,1,1,5,6,4
NPHP4,1484,1542,1215,1363,1558,1235,1086,1373,1242,1595,1458,1371
MAP1B,4734,7190,14403,13075,15155,14069,15161,11553,13179,16620,16672,14441
RHOXF2,17550,11048,13769,14031,15607,16928,19543,10238,16483,20594,18026,13077
IL13RA1,1694,2810,2612,3691,4018,2378,1883,2638,2125,2989,4595,3785
WDR44,2135,1216,1801,1748,1580,2199,2169,1359,2224,2482,1796,1846
CKMT2,0,0,0,0,0,0,3,0,0,0,0,0
ZCCHC9,2803,2818,2705,2839,3150,3306,3115,2661,3050,3673,3319,2732
KRT34,0,0,0,0,0,0,0,0,0,0,0,0
TNS4,257,2,71,85,56,102,105,9,19,54,48,92
TOP2A,36593,49465,44993,46030,49105,49602,38530,42246,52029,63459,59360,53918
STARD3,3011,3270,2166,2584,2746,2317,2441,2817,2278,2719,2814,2305
RARA,1002,623,522,687,651,640,637,521,678,751,909,604
PPP1R1B,3,1,3,0,2,1,0,0,0,0,0,0
KHDRBS3,80,84,85,50,39,69,78,28,43,129,41,54
CHD1L,5759,3957,6419,5554,6710,7573,6791,3661,7466,9366,7220,6342
PEX11B,1387,1174,1291,1507,1368,1443,1368,1147,1444,1664,1511,1437
FMO5,4,48,26,38,15,5,32,22,4,8,39,19
PIAS3,1307,1273,991,1040,1046,1171,1068,1187,1181,1207,1119,915
PRKAB2,1963,5145,3334,3258,4331,3788,3659,4361,3311,4463,4679,3461
CLUHP3,991,522,976,993,1397,1331,1194,748,991,1501,1329,975
FSHB,0,0,0,0,0,0,0,0,0,0,0,0
PDHA1,11760,8383,8350,7034,6488,11204,11265,7038,12100,13842,7179,7150
RAI2,0,2,0,0,0,0,0,0,0,0,0,4
MCCC2,7536,1993,5801,4778,4806,7645,8362,1739,7812,8464,5452,4689
ZNF304,380,306,522,599,488,551,557,422,551,656,618,639
ZSCAN5A,170,96,206,210,214,172,227,229,255,205,188,184
ZNF132,0,1,2,1,0,2,0,0,0,0,0,0
USP29,0,0,1,0,0,0,0,3,0,0,5,0
SELENOS,2019,2974,1603,2049,2179,1900,1815,2946,1908,2116,2356,1694
CHSY1,1520,2052,1735,1905,1861,1566,1651,2037,1732,2028,1902,1671
SNRPA1,7396,5072,5235,4679,4889,6864,6905,3887,7024,8323,5969,4613
LLGL1,1255,1308,1190,1176,1110,1374,1337,1285,1044,1439,1346,986
NR0B2,0,0,0,3,0,0,0,0,0,2,4,0
LIN28A,199,102,182,210,220,336,229,69,543,543,325,171
THAP1,703,770,753,771,811,873,915,669,853,1014,983,722
RHPN2,599,1011,430,274,352,495,621,607,424,438,493,229
C19orf12,810,575,893,1073,804,913,915,645,796,1130,1117,1019
FAAP24,394,209,308,553,368,530,512,252,360,503,669,477
LRRC9,5,1,2,5,1,4,0,0,0,0,0,0
ACTR10,1751,2117,2472,2220,2386,2046,2007,2350,1899,3038,3070,2082
ABHD12B,25,44,40,20,55,36,41,62,17,22,42,28
GCH1,811,1940,1014,817,1199,1203,1052,1601,1142,1303,1125,800
LGALS3,74,249,61,64,88,98,36,197,120,148,79,78
PODNL1,14,25,26,60,33,13,18,28,3,4,56,36
DNAJB1,6621,4709,3574,3924,3374,4064,4467,3602,3830,4671,3787,3942
ZSWIM4,181,301,437,402,438,363,285,382,234,392,365,309
FBXW9,703,356,468,394,470,633,624,333,542,585,413,391
RFX1,706,528,756,602,591,612,665,574,561,660,579,526
ZNF20,59,159,101,87,183,134,81,107,81,246,191,197
BRME1,124,239,296,317,369,200,218,316,187,180,305,256
DCAF15,2178,2036,1899,1888,1857,2202,1881,1676,1845,2328,1746,1588
CC2D1A,1615,3302,1689,1250,2207,2296,2393,2349,1993,2843,1838,1578
RTBDN,45,60,80,75,34,38,55,70,68,62,99,91
MATN3,0,2,0,2,1,2,2,2,2,11,2,0
TRIM21,640,394,587,667,624,543,548,663,630,670,512,607
SPATA6,30,23,40,41,56,29,15,14,39,55,70,59
LRRC41,4063,4966,4116,4823,5054,4381,4166,5221,3588,5023,5198,4879
CCT6B,41,57,247,304,286,155,105,89,110,167,451,295
DHX30,11845,7782,7958,6949,7166,9137,10490,6343,8622,10584,6770,6568
RAF1,7490,6424,6312,6523,5843,6668,7155,4985,6394,7489,6260,5731
SLC6A11,6,9,11,20,18,17,19,16,12,21,11,15
PPARG,0,6,9,8,2,0,0,22,0,4,25,15
NUP210,29251,17965,24201,23961,29893,30023,30969,16676,26659,34050,28402,21915
FCRLA,36,494,276,373,406,96,56,668,108,153,571,465
HSD17B7,646,3292,622,790,918,1116,845,2222,1322,1697,958,777
ENOSF1,2520,1760,4491,3624,4780,4343,4063,2258,3996,4958,5269,3944
EMILIN2,141,167,296,111,146,98,129,150,67,104,182,99
SLX1A,136,284,197,205,235,198,245,201,172,243,315,97
ARFIP2,2108,3276,1410,1634,1934,1593,1611,2359,1447,2061,1884,1305
TRIM5,1239,4371,1685,1997,2264,1749,1607,4413,1797,2179,2226,1772
CNGA4,14,6,5,14,7,6,4,7,3,15,13,2
TRIM22,132,251,334,282,332,190,163,259,230,411,453,518
RRP8,2913,2220,2003,1836,1836,2414,2555,1705,2271,2521,2135,1587
TIMM10B,3701,3920,2447,2725,2606,3580,3233,2382,3599,4116,2563,2773
EFR3A,2023,4392,2311,2135,2663,2855,2405,2909,3311,3586,3189,2528
HHLA1,56,92,126,146,182,148,78,164,139,159,118,136
PTCD3,9504,4994,7413,5874,6814,9521,10044,4313,10142,12089,8018,6764
IMMT,11538,10098,11553,11351,10652,13356,13144,9643,12488,14870,12229,11805
MRPL35,6247,2117,4084,3990,3512,5350,4939,1979,4330,5390,3874,3978
IQCA1,0,0,0,0,0,0,0,0,0,0,0,0
ILKAP,1214,887,990,1064,1042,1189,1076,847,946,1189,1058,916
PER2,703,197,539,578,510,783,850,182,825,926,532,697
RAMP1,2,6,3,7,5,2,2,3,0,10,0,3
SCLY,1447,594,818,864,823,910,1252,581,1127,1220,986,778
PTPRE,8,15,19,16,18,26,10,8,5,9,6,2
RAN,48641,24334,30358,31708,29464,43574,46885,18439,43821,50342,35080,31171
PRKAA1,4125,3402,3978,3988,3809,4956,4141,2834,5053,5177,4215,4309
CARD6,806,106,729,772,464,800,809,210,893,896,768,682
RAP1GAP2,40,99,91,108,22,20,79,33,4,32,68,57
CLUH,8107,3255,3858,3212,3407,4320,5761,2502,4675,5752,3239,2467
INPP5K,705,1047,886,1203,1165,854,758,1121,768,931,1062,915
MYBBP1A,6057,2002,2463,1784,2344,2751,4198,2012,2718,3744,1838,1672
RPA1,9921,7330,6657,7501,6758,8446,8358,6926,8675,10403,6966,6302
SERPINF1,1861,3797,2801,3088,3901,2540,3115,3288,2249,3497,4420,2762
UBE2G1,5103,2406,4022,4111,3734,4833,4658,2286,3922,5083,4081,3254
EEFSEC,580,491,714,725,727,670,653,663,507,827,861,664
TBC1D14,8137,3453,7198,8301,8421,8340,8158,4761,7077,8654,7505,7314
TMEM128,758,598,1198,1192,1270,1366,1287,787,1075,1496,1385,1001
COQ3,2257,1389,1529,1209,1343,2239,2360,1149,2229,2376,1648,1159
PNISR,11594,22053,12370,10892,16016,14649,13301,18748,16337,19834,18799,13636
POPDC3,198,760,176,227,234,298,264,618,126,163,149,150
SEC61G,3774,6565,2868,3005,3890,3415,3780,5496,4089,5081,4501,3161
LANCL2,855,226,643,733,482,798,769,199,565,694,727,613
FIGNL1,3015,2241,2457,2182,3143,3071,2823,2221,3110,3750,3426,2199
DDC,0,0,0,1,0,0,4,1,0,0,0,6
FTHL17,0,0,0,1,0,0,0,0,0,0,5,0
GRSF1,9089,4594,5954,6273,5047,7382,8624,4569,7184,8877,6056,6557
ENAM,0,2,2,2,1,8,38,0,0,2,211,2
JCHAIN,0,1,9,4,2,7,2,1,8,0,2,2
ANKRD17,13841,6994,11287,9997,9690,13769,15399,8111,14828,16742,12185,11788
UTP3,4523,1524,2533,2591,2601,2584,2840,2107,2724,3105,2808,2634
ITGB4,74,45,96,181,37,40,52,53,218,99,73,28
WBP2,3459,8419,4836,6018,5803,4900,4111,7484,4450,5637,5719,5582
H3-3B,37442,80463,39559,42679,36857,38777,41985,38147,34831,45312,45239,40542
UNK,1391,944,1813,1558,1379,1715,1676,1290,1526,1700,1932,1534
